"X5uM_10h" "X5uM_10h.1" "X5uM_10h.2" "X5uM_10h.3" "X5uM_10h.4" "X5uM_10h.5" "X10uM_10h" "X10uM_10h.1" "X10uM_10h.2" "X10uM_10h.3" "X10uM_10h.4" "X10uM_10h.5" "UT_24h" "UT_24h.1" "UT_24h.2" "UT_24h.3" "UT_24h.4" "UT_24h.5" "Veh_24h" "Veh_24h.1" "Veh_24h.2" "Veh_24h.3" "Veh_24h.4" "Veh_24h.5" "X5uM_24h" "X5uM_24h.1" "X5uM_24h.2" "X5uM_24h.3" "X5uM_24h.4" "X5uM_24h.5" "X10uM_24h" "X10uM_24h.1" "X10uM_24h.2" "X10uM_24h.3" "X10uM_24h.4" "X10uM_24h.5" "UT_48h" "UT_48h.1" "UT_48h.2" "UT_48h.3" "UT_48h.4" "UT_48h.5" "Veh_48h" "Veh_48h.1" "Veh_48h.2" "Veh_48h.3" "Veh_48h.4" "Veh_48h.5" "X5uM_48h" "X5uM_48h.1" "X5uM_48h.2" "X5uM_48h.3" "X5uM_48h.4" "X5uM_48h.5"
"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4)" 5.98589464888686 5.854382568072 5.74764016032437 5.86323480244948 5.75848268216734 5.70057998615279 5.76863218237277 5.76249925835673 5.80929434361312 5.85352664982138 5.83894978502982 5.74660228723873 5.83003534464275 5.77053390327608 5.81383975364275 5.82916735076931 5.92236001956121 5.69254906556949 5.72430209036285 5.7723341778381 5.85555246847172 5.78176614215077 5.87423473881818 5.8611883906511 5.86668599792571 5.84942862786779 5.71584128815432 5.74051742868499 5.77631828415414 5.80916227121199 5.72539212754705 5.75954244765928 5.67227338831295 5.81497303397042 5.7986485740835 5.78586845320413 5.89994355332868 5.80141057085545 5.70200465016544 5.86527398572068 5.83505610172012 5.75016576105975 5.81483003884505 5.84430441768999 5.77305981991305 5.92597540535286 5.82139232826799 5.67528788013194 5.79972572877688 5.87853443351653 5.87263810138887 5.81720628370146 5.98014250543204 5.8099709213401
"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)" 5.85417421493883 5.89099913421972 5.53731149223819 5.66859555762502 5.58479580660043 5.62540814986447 5.62635474094982 5.59055986408618 5.69684807768502 5.73782056334909 5.64000912101098 5.75302968953718 5.84412226374233 5.64377433007264 5.89489842434412 5.71173554345346 5.79438765238299 5.58315681660033 5.72566502670388 5.71161491628945 5.75874919064686 5.70836565368291 5.74579515390488 5.82540339623644 5.78725071560575 5.61708530346914 5.68577845060468 5.58928481201463 5.63513476361604 5.58976646684469 5.60731988835379 5.67875230697472 5.55486332790973 5.75581542183467 5.75831375832499 5.72710674525454 5.8668553909457 5.64160893900108 5.74374487859246 5.72710674525454 5.74337255617118 5.49417408115414 5.73128408818331 5.76805470437953 5.70425693169811 5.76715883560695 5.7488242674646 5.58233840476529 5.73561406780675 5.78201443837415 5.76483417652685 5.71012583080868 6.17794290169704 5.71107632497991
"1-palmitoyl-2-oleoyl-GPC (16:0/18:1)" 6.85466578015458 6.72569214383928 6.67509254977031 6.71680721324889 6.69767666236937 6.63702777083345 6.77150722819199 6.75560375608075 6.73915295687162 6.79999005760072 6.71369067564921 6.7341848236571 6.84244897035368 6.75713575375538 6.7927008391387 6.76378531581214 6.7919029734256 6.64503191673623 6.76474497698185 6.74381139271489 6.76606184891344 6.71261216214846 6.79673504792897 6.78313652967649 6.79903760958949 6.78332525414335 6.70759861719742 6.65286513231569 6.71824277883831 6.73658404511854 6.68091629976605 6.72453284672548 6.65405288034598 6.71886109940077 6.76589234870354 6.76686163400066 6.80446336199773 6.70056423604291 6.78601867752206 6.78220386610497 6.73721149353961 6.64290047547406 6.78896944982663 6.76598280171142 6.68695606388844 6.78429305530262 6.79138688747985 6.69313558950717 6.7697750256227 6.84203216822562 6.83042062772326 6.74366644308199 6.73074683643654 6.71078006839109
"1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*" 5.67295635750464 5.57305851761752 5.46042722740208 5.46634259238391 5.34197236042552 5.17774998759275 5.24357128298716 5.52659125018448 5.17776729280465 5.60097507259599 5.44840792975222 5.43578227399171 5.64943027616493 5.49517509969412 5.39361556007358 5.58360339776994 5.58874217110747 5.31247990264529 5.50627767859694 5.39491024974679 5.51113840850196 5.45762608702847 5.64868390313504 5.54481686660095 5.54193726448514 5.56842116339744 5.5090559400162 NA 5.42304260933626 5.52202538736728 5.23548552033154 5.41837090546624 5.286281279455 5.42074765476948 5.46297417888247 5.55222152687862 5.67872773681082 5.47261897408834 5.40053798939195 5.30074978534561 5.57165177597085 5.30412846482471 5.54216913421231 5.57952294172338 5.42772461343202 5.54493452751509 5.56533415061794 NA 5.51550559657889 5.6158848500119 5.5853783749547 5.52939313486443 5.4060084830219 5.47456880304665
"1-palmitoyl-2-stearoyl-GPC (16:0/18:0)" 5.60683047710369 5.30818650902709 5.31949539585936 5.46149702610841 NA NA 5.34232396631288 5.41457729130905 5.43416475831256 5.48870720352312 5.45700334040388 5.35272263746202 5.58910698999782 5.3559493227878 5.28441494103076 5.47113322334643 5.57885802092151 5.19342237771464 5.08035947967977 5.14887708660979 5.37933271697078 5.37058895035129 5.42776516236513 5.38740050557993 5.46246238851398 5.46147001307867 5.2289672408168 5.24693167446307 5.26733837160712 5.19296588483472 NA 5.36325838419906 NA 5.46366010889846 5.27715520236515 5.3155484343468 NA 5.44437898032808 NA 5.42977972525486 5.5998012249493 5.29714528082368 5.48016797595279 5.40015446671892 5.34007709002857 5.47692867480765 5.35556644831893 5.34342828925212 5.28461343750195 5.53736316133155 5.2969239351324 5.50038606378391 5.23700556328332 5.32735484688962
"1-palmitoyl-GPA (16:0)" 5.80237207369545 5.69722062189943 5.78285371873401 5.65842068139327 5.61126966347497 5.77883328072248 5.69736972450965 5.76443244745674 6.03672468505087 5.58794544317383 5.69344113484166 6.10110133697303 5.61751196164329 5.56004538567582 5.75397275330013 5.50421932024385 5.53898822685823 5.72026931074103 5.57941314547535 5.54006280871742 5.75683381554059 5.63858608883641 5.38339702152077 5.5278875659527 5.86641790323914 5.75435674626215 5.59178115825803 5.64897247090772 5.60522098100901 5.68465688719721 5.66204254530546 5.59552377770781 5.9378647878274 5.64971932149276 5.65023464881649 6.07799871849455 4.69914368739448 5.40397282405928 5.68444857266772 5.33529739270201 5.32596491339689 5.58085429733188 5.26398620306686 5.47193973465152 5.38791457833393 5.2455348754869 5.10315007776992 5.30960249091529 5.08297555682857 5.3642788898266 5.59523600810473 5.45325716750212 5.48764452154225 5.44279479265585
"1-palmitoyl-GPC (16:0)" 6.55110193497666 6.50387807772948 6.37720841448813 6.52227817867866 6.48344935625892 6.45355652500256 6.44973751005703 6.48272569830489 6.4961379300007 6.53700374478814 6.41705380555512 6.45291428886428 6.38072629895657 6.33538949141344 6.44867077121505 6.43358840010438 6.41161903263793 6.29912687931499 6.38064875390726 6.43972638095179 6.35255488658507 6.36310538365655 6.38656513022398 6.34852954744296 6.49241952264509 6.4619327541796 6.44034744064481 6.39279716350091 6.38048819707202 6.44285761331379 6.4398536925024 6.41595374606689 6.40045906668315 6.49505371013402 6.44429545833039 6.49678259928497 6.1838913653934 6.18719064443193 6.21226006958438 6.21688921176159 6.17725909773514 6.18720334431817 6.22777798889759 6.17873212028139 6.21252079091644 6.25705067362671 6.17873586133277 6.12631067508509 6.38691807591696 6.35244976824723 6.37509362858929 6.33713406765516 6.31007615464132 6.35530110980109
"1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)" 6.44468576626134 6.30907097276144 6.19607554754275 6.29314988621603 6.23844782794636 6.21781966881646 6.33464612512085 6.29480515220877 6.26399897290767 6.32695203982525 6.30370028082762 6.29791451065108 6.36700648097094 6.28257204265721 6.30258004612971 6.37815651878723 6.36776988776199 6.18206382225556 6.31139865361376 6.29339681068595 6.33607069597523 6.29944976666957 6.36463653262477 6.33953650301612 6.33674943370587 6.33307126062562 6.22601598600755 6.21591554979522 6.29406878615933 6.27942577979716 6.2157506820181 6.25295516309102 6.23435325322514 6.3072064830661 6.24196936313344 6.29451979319248 6.40126454395624 6.2859605880349 6.30482581325075 6.29692941534801 6.26964227933562 6.19766422220684 6.30306812697145 6.30435392757207 6.2385065123909 6.36391644330086 6.33060023641238 6.25048611739105 6.30805128024866 6.43496996218898 6.37414210976587 6.30126032779643 6.24926661577909 6.27719741338316
"1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*" 5.90204044150585 5.89016159430661 5.75063874077277 5.77700247111239 5.76263955798094 5.50393497010512 5.88521416836082 5.56941136736196 5.82942600148345 5.78678974055641 5.73325666546498 5.82640266847432 5.8115924309169 5.63905696289269 5.9373624008026 5.79026967837855 5.82735053077445 5.75683989741492 5.85183783682128 5.7788621872929 5.71927575341368 5.78211629922179 5.8633067968768 5.7154442473536 5.89668216073033 5.82690564897298 5.66928061034754 5.57413317021005 5.71588556704716 5.8299820291145 5.69469380351598 5.82604368795173 5.52199927766171 5.81271353521873 5.85327465942382 5.76273256590129 5.86640195406695 5.67729115328633 5.78903609267239 5.89075513490423 5.85685028258249 5.76804951840666 5.85486388844893 5.70591243944292 5.91780263965959 5.77842838658469 5.80388232481694 5.86103890115708 5.8217721939236 5.82552932347499 5.88558792138252 5.82315262787288 6.15935931974815 5.66877064670289
"1-stearoyl-2-oleoyl-GPC (18:0/18:1)" 6.63327459578119 6.52836873251235 6.52439923810688 6.52606336106298 6.48039720117642 6.44414632772264 6.54216203036555 6.51365194371934 6.52030375133273 6.57763952674747 6.52256159453444 6.51250162329074 6.59772633118064 6.5545786748009 6.54397857047088 6.55432449665745 6.61071221144186 6.48368298809998 6.53505753605394 6.49840760431492 6.59829225922915 6.50283513775781 6.58517219446353 6.51501420263078 6.59036583327144 6.54542959250978 6.51310847986325 6.4986421454307 6.49401969122461 6.52986379079881 6.45723102678552 6.53516482538556 6.4750921304798 6.52954879383196 6.52179648236286 6.50847611901147 6.5558140067614 6.52206546271152 6.47919266885843 6.56431209429082 6.54652427960103 6.41982279770141 6.51467629542691 6.50539867640593 6.48153578399365 6.58474078351028 6.59139365528716 6.44546081572828 6.55436388098941 6.58098971606405 6.58786434376014 6.52932818561038 6.468069677278 6.49551422726863
