"UT_0h"	"UT_0h.1"	"UT_0h.2"	"UT_0h.3"	"UT_0h.4"	"UT_0h.5"	"UT_10h"	"UT_10h.1"	"UT_10h.2"	"UT_10h.3"	"UT_10h.4"	"UT_10h.5"	"5uM_10h"	"5uM_10h.1"	"5uM_10h.2"	"5uM_10h.3"	"5uM_10h.4"	"5uM_10h.5"	"10uM_10h"	"10uM_10h.1"	"10uM_10h.2"	"10uM_10h.3"	"10uM_10h.4"	"10uM_10h.5"	"UT_24h"	"UT_24h.1"	"UT_24h.2"	"UT_24h.3"	"UT_24h.4"	"UT_24h.5"	"Veh_24h"	"Veh_24h.1"	"Veh_24h.2"	"Veh_24h.3"	"Veh_24h.4"	"Veh_24h.5"	"10uM_24h"	"10uM_24h.1"	"10uM_24h.2"	"10uM_24h.3"	"10uM_24h.4"	"10uM_24h.5"	"UT_48h"	"UT_48h.1"	"UT_48h.2"	"UT_48h.3"	"UT_48h.4"	"UT_48h.5"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*"	725516	253000	345722	329180	446261	396060	953011	1239531	449030	739355	871759	836761	791287	698657	685192	789492	770739	1016905	1191810	606955	678671	856417	872729	1068677	695368	852601	1156517	1580977	1009691	1063992	1049438	1340075	1076692	2000932	943683	1264060	738620	1063978	795038	1283720	1451302	1420248	724773	1561845	538155	124060	933047	1208386
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*"	4858702	1621712	2153090	2050417	2918825	2240267	3794196	6700226	1821166	2737843	3067999	4500114	4871144	3747827	3799789	5015413	5648325	5942098	5473225	3508858	2350692	5891718	4445820	6583115	2932070	3593232	4114958	6284727	3779852	4123286	3318214	5033302	4143789	7552826	4297549	4904442	2747416	4568822	2469749	5073406	6032959	5744015	3985561	7862551	3519197	1065298	4458959	6523325
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*"	69367	NA	NA	NA	NA	NA	77560	60643	NA	NA	83131	NA	91321	45001	NA	45536	92322	NA	75163	35760	NA	76481	65319	79065	NA	45700	83804	108904	51258	73586	57298	77098	107961	103601	56096	81444	83783	91533	55810	62442	140247	NA	110116	238689	70784	NA	166146	205737
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*"	604809	276189	391520	338827	471352	387846	658073	909133	237983	361510	570793	673106	738820	591309	517339	805725	735851	853516	1031851	539095	331422	839256	620117	926936	292515	496707	519218	815255	411928	492795	394748	565791	537513	936831	465140	623978	389230	713409	304743	616681	933294	881581	789392	1610535	521659	155360	930952	1376395
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*"	613028	177596	310843	354238	390645	286021	585251	664988	151876	422290	598415	475833	476660	411977	390697	734157	562747	713909	822167	418240	275112	661866	540275	1089568	385872	516419	425838	709489	271648	451151	240660	373730	681035	890661	541393	535274	315647	492634	199623	433306	772580	911673	624396	1027737	459471	116582	580076	887339
"1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*"	231535	83566	162339	110696	215327	129417	292335	336699	105227	216610	265438	256348	307539	275813	212012	311776	351761	338507	385295	203424	205188	298821	268502	355877	180919	239827	296490	440609	241204	327679	287730	296139	294000	464039	281476	335228	242600	377003	208899	375948	557604	505894	391918	829992	255458	NA	590345	623098
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*"	261177	105598	165585	115089	178421	102011	232448	397731	60939	126484	247493	274913	276329	152529	165890	312866	258386	323817	333668	104604	105288	290933	230377	400351	121976	231874	225628	480878	176381	237970	171134	266965	278308	549971	230743	308509	168405	304190	124697	306996	484442	469243	420722	854177	289045	93706	507638	789967
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*"	101117	342162	413047	220356	353473	527248	112820	457316	444040	324297	336863	401909	159351	320512	301304	288990	258564	348238	61790	248581	258438	NA	303427	265754	389508	504073	409639	474269	389617	516740	99286	139757	534021	155117	550787	471438	301437	394136	352134	202291	463099	512256	1053860	936880	900702	132094	1023235	1310101
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*"	8319864	2477190	3697790	4127485	4136880	4344933	6566709	9942808	3389468	5355832	4763597	5860760	6898112	4751002	5552661	9039435	7185648	10677958	8368456	5176730	3100570	8418759	6248958	11234926	6106364	6749751	6051189	11213360	5648831	6583967	5301503	6972103	6252238	13017813	8014727	9203700	4459631	7362051	4171715	7764234	11642613	11304149	8448459	15796716	6712476	2024294	9468253	12898741
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*"	67519	NA	NA	43320	NA	NA	64374	69423	NA	NA	122853	NA	NA	NA	NA	NA	NA	NA	142999	NA	NA	100867	63888	NA	NA	NA	NA	80232	NA	NA	NA	NA	140234	173734	NA	NA	NA	91932	NA	61983	105729	185352	129780	228397	NA	NA	57399	206753
