"UT_0h"	"UT_0h.1"	"UT_0h.2"	"UT_0h.3"	"UT_0h.4"	"UT_0h.5"	"UT_10h"	"UT_10h.1"	"UT_10h.2"	"UT_10h.3"	"UT_10h.4"	"UT_10h.5"	"5uM_10h"	"5uM_10h.1"	"5uM_10h.2"	"5uM_10h.3"	"5uM_10h.4"	"5uM_10h.5"	"10uM_10h"	"10uM_10h.1"	"10uM_10h.2"	"10uM_10h.3"	"10uM_10h.4"	"10uM_10h.5"	"UT_24h"	"UT_24h.1"	"UT_24h.2"	"UT_24h.3"	"UT_24h.4"	"UT_24h.5"	"Veh_24h"	"Veh_24h.1"	"Veh_24h.2"	"Veh_24h.3"	"Veh_24h.4"	"Veh_24h.5"	"10uM_24h"	"10uM_24h.1"	"10uM_24h.2"	"10uM_24h.3"	"10uM_24h.4"	"10uM_24h.5"	"UT_48h"	"UT_48h.1"	"UT_48h.2"	"UT_48h.3"	"UT_48h.4"	"UT_48h.5"
"1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*"	800239	341289	580600	497867	657224	689652	855406	1517346	505470	610788	755854	972033	854258	670681	928425	1218163	1066275	1684025	850686	769448	443960	879446	928487	1275004	841994	1003047	812622	1397017	682752	842366	853781	846665	885294	1780942	990308	932133	433154	674927	455363	1070776	1358391	1387348	690771	1923963	752682	203832	1229859	1393796
"1-stearoyl-2-oleoyl-GPC (18:0/18:1)"	23961048	12949564	18193560	12168037	18400386	16455157	26943410	32060316	9576271	14656174	18712664	22210058	26030258	20128440	21151628	29070756	24830764	31271596	33793608	21301296	16084415	27651118	19958660	37356904	16063885	24038330	23784146	36775792	14682381	25217238	15226057	21512280	23003932	42392716	22839028	27617360	19797704	35625552	16094962	24728304	43947236	54627708	34601736	70804488	27001876	8165406	39958392	55300808
"1-stearoyl-2-oleoyl-GPE (18:0/18:1)"	3012362	1148764	1788728	2855401	2121479	2308767	3193890	3827560	1418853	2517348	2065972	2585818	2831401	2349119	2249782	3944639	2425557	3591054	3631794	1930490	1228837	3406346	2495576	4463304	2860621	3456232	2723415	4423737	2181878	2879789	1911736	2998663	3041490	5382189	3705757	4625750	1668183	3020859	1727628	2758574	3803587	4991073	3817316	6252693	2762097	866586	3589265	5327303
"1-stearoyl-2-oleoyl-GPI (18:0/18:1)*"	444119	393866	424854	399473	430966	478782	427823	509641	176903	277620	311050	379468	530981	388864	352728	581226	410760	573550	570379	424003	319102	512101	406367	692846	283905	389458	296265	449216	231279	392550	231269	443752	425112	569423	412193	446831	447058	671236	506152	557634	795901	1027960	480272	792537	424045	134847	443635	738156
"1-stearoyl-2-oleoyl-GPS (18:0/18:1)"	11003494	4980793	9064125	6316253	8214197	7943427	8014241	15057762	6470740	7262058	6890267	10764559	10682115	6696311	7425478	12410044	10842701	11636894	12699488	6114077	6583254	12468490	9393128	14588450	5378561	9018226	8932306	11997050	6313039	8895150	6395649	8326911	7812464	17123552	9115336	11277075	6080712	11479834	5432017	9226797	13644269	14713317	9941706	18727268	7384393	3553881	12402745	16495486
"1-stearoyl-GPC (18:0)"	1983043	1956990	2335441	2117934	2100986	2051393	2257738	3461716	2365522	2595012	2750181	2716820	2931528	3644697	2827025	3125928	2323753	2786681	2934137	3233303	3545678	3115478	2852771	2972643	3297820	3244231	3274815	3085756	3409582	2764421	3233321	2520306	2927240	3486158	3209534	3545686	4617997	4318825	4255895	5447668	5387166	4016579	6498480	7221785	6146818	1317918	7443150	7500656
"1-stearoyl-GPE (18:0)"	281990	265574	276264	243303	361867	348642	252622	356966	295839	295860	279331	280152	301508	299662	257124	265785	290432	340508	277068	235596	271373	336292	330531	327594	452700	504678	490304	522353	464170	429336	378141	362594	457584	554972	540450	514516	453349	553144	417139	482314	535962	449318	1096159	1292550	1122407	283879	1379972	1423139
"1-stearoyl-GPG (18:0)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	127961	128011	117923	NA	107027	176891
"1-stearoyl-GPI (18:0)"	123636	582510	898042	123355	571572	839710	258477	526778	580686	350553	491526	654367	315408	710906	640028	526553	559550	659205	262275	607802	959033	175625	488203	425136	629324	752652	397487	556944	507502	705884	89492	247666	801100	230366	779009	580244	933293	1280983	1377791	524969	1282512	1843292	1690757	1014358	766391	201715	1239777	1619567
"1-stearoyl-GPS (18:0)*"	NA	329232	485884	NA	261823	368182	114944	275500	284308	198306	250287	341434	120189	243347	249320	210333	221582	264780	75131	197212	411936	83684	193756	123099	286349	466357	249300	364104	239525	475054	NA	131648	458953	189063	410461	309487	268364	420152	419815	111983	384195	588675	684335	492973	421381	NA	613608	897094
"2'-deoxyadenosine"	26409	94478	NA	NA	NA	90300	278077	141482	173354	318687	300615	159748	113646	229617	166044	116017	65411	106243	221566	256885	207721	169310	84621	82289	415334	502449	171214	362345	197843	405824	63090	118159	264875	143348	261067	140192	270591	143957	201244	159202	164089	332796	173266	209129	423070	38004	191082	215289
"2'-deoxycytidine"	NA	NA	NA	NA	NA	NA	41318	NA	NA	54306	62899	28980	NA	41107	51722	25587	NA	NA	NA	75389	NA	26309	NA	NA	57811	174317	52524	105501	47924	120080	NA	54172	111602	51379	83991	52254	39889	29085	NA	NA	NA	66180	NA	47484	104041	NA	55938	58081
"2-aminoadipate"	64949	97940	NA	62939	148210	124744	113699	NA	97191	NA	93413	147711	148826	123336	NA	108611	114443	NA	110927	NA	103234	NA	116926	116091	185815	199868	163050	217945	178237	195886	61176	NA	190815	NA	200530	214944	NA	142112	128622	NA	131623	111948	293727	295769	277724	NA	318258	267416
"2-hydroxyadipate"	251801	328766	623427	218812	361177	420254	NA	NA	622394	NA	190343	NA	NA	176841	222086	327663	184571	NA	509721	NA	NA	336339	171133	486983	283331	137724	744451	390725	NA	783405	282247	136244	238948	356567	160944	NA	286858	979099	NA	NA	808360	882540	360433	363628	379976	NA	346191	651474
"2-hydroxyglutarate"	11905217	15308130	16066838	16537571	18255120	21985516	13991821	12927976	16742217	15874664	14157765	16927338	22457080	16363621	15104212	20768068	16063764	15992841	21026124	16275582	17173620	19367024	16411259	17427200	26469520	25556118	23981904	29677014	19747422	22263356	16428818	16452211	25260096	27563656	29454872	25650316	23081172	26892784	23647744	23054188	24277648	22794428	57676408	54545804	57005516	13109942	52564068	59967984
"2-methylbutyrylcarnitine (C5)"	1244163	1476629	1271939	1036322	1282417	1960302	2804134	2438869	1910612	3009434	3096818	2050730	2143549	2309716	2409042	2037674	1823264	2047492	2057833	2427245	1990948	1557241	1651320	2026579	3874374	4480279	3348356	4535999	3208395	4108823	2870181	2530042	4669283	3398871	5288833	3952104	2608815	2003254	1716606	1229277	2705680	2487531	5147796	5359569	6818953	1071037	5481233	4921045
"2-methylcitrate/homocitrate"	191049	310698	185613	155931	174117	173029	174044	175110	150962	194056	215694	139746	201890	200142	175684	184987	209502	162461	221002	188706	172408	210681	262990	147706	186414	216274	177717	177264	193468	152911	167921	149136	164191	172814	190311	173216	198975	207930	159793	151139	208696	211722	257075	195318	218843	108968	230066	192247
"2-palmitoyl-GPC (16:0)*"	82307	195544	344797	135607	244863	312482	133467	326358	354351	218939	697586	361713	209090	428056	315906	398670	298556	282151	260900	340402	453075	208279	263809	201771	309348	383575	324686	342136	194167	348964	124276	116931	715395	209026	307672	272389	350552	519735	463021	359711	435315	510974	529970	364975	363579	43424	462249	551966
"2-stearoyl-GPE (18:0)*"	NA	NA	NA	NA	59745	67573	NA	NA	NA	NA	NA	57131	NA	NA	88736	60684	NA	NA	NA	NA	54236	NA	NA	58440	81648	109911	104185	107518	NA	125302	NA	NA	129584	NA	128137	130936	84848	104627	92332	NA	174512	78726	279747	283253	153522	NA	311994	410955
"3-(4-hydroxyphenyl)lactate"	NA	112560	67288	42232	63674	63642	73940	48866	136249	73538	84258	77902	118523	110148	95201	81615	164805	102109	83687	126731	121415	110526	143882	73499	105229	118439	146689	142168	157573	138543	NA	59598	125096	107050	199776	157353	149384	106523	144473	139975	154597	128894	156787	195564	211793	79652	173522	179781
"3-hydroxy-3-methylglutarate"	8067407	8977993	9969518	9102997	9903391	11467292	11772586	11201597	14260026	14813689	12070151	14242820	19158120	14312985	15521090	20809492	14928894	15886526	18358698	14379839	17195892	18637562	16324297	18213452	17668752	15916509	17587678	20833414	14796232	14856613	14240298	15400521	15423689	18930592	17989716	17403530	21698700	25928568	27478240	27664828	24128816	23791940	13196431	13364446	15473678	3502458	12820047	14221645
"3-hydroxybutyrylcarnitine (1)"	NA	NA	72331	NA	NA	NA	98046	NA	68202	175098	130423	NA	NA	NA	94501	NA	NA	NA	119195	75595	114855	NA	NA	70852	177995	130820	115629	247803	NA	256776	NA	NA	208584	NA	148166	NA	231089	NA	NA	NA	NA	84316	117396	120575	291058	NA	136831	131284
"3-hydroxybutyrylcarnitine (2)"	NA	NA	NA	NA	NA	NA	129348	NA	NA	128486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	118606	NA	NA	75226	156370	NA	NA	149587	105771	90435	NA	NA	118554	NA	193665	NA	163670	NA	NA	NA	NA	NA	284222	275685	346217	NA	180083	185204
"3-hydroxydecanoate"	NA	73876	77066	NA	81050	94263	81043	87077	NA	127365	77981	NA	71045	112345	81125	92260	78425	83380	NA	75930	81836	NA	69469	NA	NA	112701	NA	64671	79247	70390	NA	77497	59685	NA	117305	66862	NA	92628	98316	NA	123365	87976	55752	117332	81550	51468	161573	NA
"3-methyl-2-oxobutyrate"	NA	305446	NA	NA	NA	445422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	196051	264391	167289	NA	NA	187952	NA	NA	203960	NA	232197	223823	NA	NA	NA	NA	189686	NA	455527	370218	297661	NA	318777	346340
"3-methyl-2-oxovalerate"	NA	420077	137909	127819	167693	145267	NA	NA	123830	285042	208121	252998	NA	NA	202392	223168	NA	NA	NA	NA	NA	NA	174823	NA	346665	269840	335288	363458	307768	265343	NA	202670	276813	NA	158861	260292	202629	172135	NA	142371	NA	224828	653370	602314	537905	NA	492736	648000
"3-methylhistidine"	NA	107851	128298	NA	NA	73292	29746	NA	NA	37592	97791	21793	NA	NA	NA	NA	NA	NA	48078	NA	NA	NA	NA	NA	113387	71785	81222	NA	NA	84909	NA	NA	101830	NA	226696	NA	NA	NA	NA	NA	62976	60663	148280	223773	NA	NA	112146	114485
"3-phosphoglycerate"	818183	854760	1049128	918539	1362172	1357173	727558	674921	1408942	1400814	1272977	1323606	1262003	669741	1101433	1106694	1219436	1185710	1108122	488788	1082965	1134139	1147204	1133515	1491744	1375829	1768967	1997790	1205333	1135365	1465023	1266571	1919334	1694642	2000100	1939414	1362985	1433568	1376315	1360350	1370526	1309108	2483358	2106392	2884342	849660	2937024	2586678
"3-ureidopropionate"	113544	542286	122469	113659	245563	268798	106616	75981	64255	111255	136563	63346	69513	100493	81420	52517	110527	112843	108041	127126	87857	93288	118958	56241	168961	257812	130507	194941	185155	203978	69909	70292	220419	150171	321906	122762	226903	116054	139854	158289	211423	226770	469306	477250	813439	106741	482251	529643
"4-acetamidobutanoate"	283074	644411	201628	338094	NA	588668	606677	407254	374293	675641	739066	472910	267130	621417	535501	366806	370457	533644	708950	581584	562717	559655	580047	362366	585369	670515	439343	846341	616662	898683	495279	405540	730176	499102	839140	434783	821299	423902	565357	324043	568541	701639	NA	422772	1040648	NA	614650	943232
"4-guanidinobutanoate"	2493890	3814201	3620002	3097607	3486373	4307513	3363469	3111288	4092229	4148490	4032091	3976544	3559581	3782803	3420382	3295998	3215944	2900209	3434851	3260282	3539341	3115666	5042314	4533914	9597225	9220704	8102662	8999843	6515857	9143332	4531182	5645194	8493591	7637049	9904147	10316212	6767232	5890133	6325633	5792196	7929747	7829827	15523497	15970985	16363245	2309281	16905186	15905910
"4-hydroxy-nonenal-glutathione"	64243	59801	70847	47628	56485	51862	67498	62328	49028	48783	62884	50281	46463	55466	68257	59974	49280	49684	71625	65139	79192	56615	51268	56768	59103	83552	57156	67317	52900	66505	60535	64842	50915	70013	67438	73588	52376	72631	63764	63415	64079	72185	71845	76548	55169	30604	60375	64718
"4-hydroxyglutamate"	NA	58283	NA	NA	NA	66098	NA	35773	40585	28449	44492	NA	NA	55744	41166	NA	31556	NA	NA	55735	28558	35070	33987	26017	93518	136296	NA	109843	85862	120846	NA	62608	126006	72829	111723	44836	94299	18410	99445	60997	53515	78361	NA	92994	160956	NA	66667	113402
"4-imidazoleacetate"	156467	266165	310906	248213	240229	415727	849719	621769	710462	917208	856582	614455	648386	860802	798252	638563	580116	583023	859585	910932	896728	722454	892553	741802	748528	818756	583936	872246	602255	781598	597215	704124	885043	608296	918286	633230	880349	635867	857854	700529	1062257	1172381	368297	531453	688631	170692	475810	604395
"4-methyl-2-oxopentanoate"	547406	740171	NA	NA	2045290	237524	747586	442107	NA	518306	389104	333139	426040	278862	333307	361522	NA	320814	678353	296012	1706196	665813	502227	NA	821668	536600	349879	854483	466579	585428	576763	379689	588313	667465	569512	384488	605677	NA	288731	564097	404917	NA	1006454	945465	754085	437994	733457	651873
"5-aminovalerate"	NA	NA	NA	NA	NA	7164248	7350489	NA	4705492	8208057	8952000	6191856	NA	8548778	8206345	NA	10081220	5681654	7575588	7835690	9139441	NA	NA	8682022	13429301	13971842	11545589	17872800	15442774	15425130	12427782	10741973	15166001	9687172	17291640	NA	12717486	11645774	11347577	3559485	9238575	13624079	10631210	8304714	15887416	NA	9726391	13277192
"5-hydroxyindoleacetate"	NA	NA	NA	72352	73446	98828	128380	61454	94430	167357	176799	99625	74465	153118	144116	95570	134293	133441	161169	173873	181221	104248	167797	118332	NA	89870	77317	58689	NA	38618	24765	57143	66985	NA	NA	NA	81489	71331	NA	57313	137048	253250	85274	63045	57089	20742	NA	NA
"5-methylthioadenosine (MTA)"	3386978	8458006	5830205	3244237	5983702	7344553	9828587	5691632	6555620	10235247	12615740	8545381	5262727	9391249	8754312	4952443	5341960	5178332	8997911	11698012	9134376	5441665	6928520	4629489	14208478	17929484	7240679	15960749	10166543	20000680	4797593	10895568	17043880	9433458	20041548	7953759	14128272	6696309	9098182	6689850	9256031	10436074	12515458	13638824	31658698	3058148	14741776	20162368
"5-oxoproline"	11090434	23243248	10683572	11528840	14877437	12313341	19875828	17604392	24275546	20517702	19603918	23289232	23763340	20040062	18093288	21571768	19687200	16566351	26265926	21825572	19088400	24593506	29364140	21423704	26623710	24422692	28585646	26789714	24065598	28447244	21046408	18600776	29398298	26126446	29059724	27534966	26245482	26118506	22721444	25717370	24746640	22404308	39644584	38601760	41869352	9907783	37741932	44968540
"5-phosphoribosyl diphosphate (PRPP)"	NA	23114	27022	NA	NA	22362	NA	32890	18459	NA	NA	NA	15609	28204	NA	NA	NA	NA	NA	31068	NA	NA	NA	NA	52657	76785	73097	40095	89720	96719	NA	29962	61089	18714	70107	78442	24678	23240	NA	26613	34146	43725	216240	216747	130603	NA	136325	133242
"6-oxopiperidine-2-carboxylic acid"	NA	377856	NA	NA	416077	769418	NA	220269	136337	414161	555784	337178	NA	640711	NA	NA	NA	NA	NA	355668	689298	NA	114272	NA	588975	NA	NA	221276	139062	566192	305239	1341193	774546	NA	644024	NA	442120	NA	NA	NA	NA	609553	434213	NA	462104	114576	NA	656510
"6-phosphogluconate"	620845	790369	687690	921367	1039228	1057169	859596	324301	928360	889144	1115045	1132778	578039	312650	705115	729250	1418084	1445151	572198	256222	551474	602577	1753072	1650032	715145	764576	990779	1128160	539306	594444	669267	727341	872583	898548	962781	914271	609468	659906	579909	585628	662264	630256	804119	931089	1111543	334894	1238409	1304073
"acetyl CoA"	17387	32869	28350	23852	17381	25588	NA	NA	NA	NA	20766	NA	17140	17289	NA	24890	NA	NA	NA	32773	42601	32414	33006	12219	NA	NA	14499	NA	NA	NA	NA	NA	NA	NA	NA	15237	28142	18079	30685	27023	14357	30843	NA	NA	28077	21767	11335	16885
"acetylcarnitine"	11354865	18310462	13743249	12113472	14732266	26232924	46264080	23333614	21373736	34005440	28257912	17625800	18790728	35082972	22483588	17788684	12263197	12871848	32406796	42241460	27747452	20155560	12891267	12197212	52701344	70976856	37368396	65764436	42567304	68429360	20170498	29053392	52016848	30627524	57289888	28588672	60310868	26248804	43165056	29693214	29632988	56629668	62136156	69758760	95100440	11239156	56650216	74446632
"aconitate [cis or trans]"	3089694	4271187	4926429	3742982	5453841	6308123	4162646	3517534	3685952	3694972	3837162	3766509	3066784	3273084	2810376	2907202	3847784	3559434	3255016	3242578	2663810	2678340	3635858	3888912	6449229	7005459	5812094	5796326	5271469	6405768	3130288	3454536	5314600	4699971	6074248	5920276	3640609	4001252	3217736	3075530	4032435	4333558	12771100	12217912	10406370	2534159	9353352	10412838
"adenine"	4644906	10131047	4967414	3889386	6903981	6738130	5750827	8759081	7179371	9473696	11207272	8403331	6401870	10505651	7302018	6767526	9253940	6616053	7988434	9518882	8632765	5681156	8331253	6369948	12579862	7422789	5174778	10843184	11828689	7826900	7231142	9671069	10821932	7458798	14679493	4484286	11506878	8548121	7591577	6929301	10737184	6640178	3707682	5153917	14116783	2526204	10917781	11896845
"adenosine"	13280376	15881355	9810977	7699913	8096704	15223988	9266238	6890808	7609323	7222347	7300473	3706563	2790264	3973956	3561998	3249801	2973509	2577249	4005535	9983026	5396331	3266939	2547306	2322421	11814868	12935224	4250251	8937994	10866623	13304372	4097865	4281381	9132120	3983347	16014630	6201423	11129642	5464073	8820923	5137655	6989088	10200134	11452741	10064336	27354076	1733882	11023131	9635864
"adenosine 3',5'-cyclic monophosphate (cAMP)"	64599	114557	128179	105104	107768	135101	171471	89164	54019	70127	48035	45724	75021	56947	74774	46756	NA	NA	93920	55307	96846	85618	23946	49657	296919	307103	107566	74591	105349	73596	67338	NA	108200	91287	115144	106382	61485	88272	98830	99580	107506	116990	238781	258553	152613	NA	134426	146001
"adenosine 5'-diphosphate (ADP)"	2763612	3443397	5899865	3539284	4076053	6319894	5569552	4686499	7083626	5874165	4704166	6594106	5637716	5647760	5703435	5130769	4766060	5771885	5525162	5253173	6339800	5642315	3994161	6027425	10383161	9796032	10461605	9208003	9115177	9782185	8092696	6866736	9581334	9149505	8079462	9607652	7480327	8172605	8421889	8447344	7015913	8655251	10866577	10603517	10302939	2597464	10360562	11839420
"adenosine 5'-diphosphoribose (ADP-ribose)"	41420	59920	93215	52120	84566	108931	49477	106488	120772	82936	94439	141381	68001	151505	110429	87697	114012	124176	66566	112234	125154	57073	64269	132476	88880	165706	190855	122139	127415	200281	59109	128633	206839	79500	159511	193435	92740	113484	154776	63911	158660	133727	192454	217671	264129	38796	206978	353381
"adenosine 5'-monophosphate (AMP)"	310428	358518	1555977	596739	1154714	1685693	888485	800243	1041510	762783	635688	969340	762918	1168424	1125136	773436	786630	1088659	695603	1042864	1235195	850922	555787	1176659	1603587	1854811	1831721	1442707	1492911	1687804	1015648	1164634	1550496	1260953	1386365	1849080	1287073	1444008	1746417	1280438	1397974	1888071	1734238	1845797	1596347	317948	1726317	1731030
"AICA ribonucleotide"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82600	NA	212374	71465	NA	NA	NA	NA	NA	NA	143559	124657	412045	52518	136797	213499
"alanine"	10025986	19416130	9575224	8370473	NA	15865414	11715983	12686906	7998922	10060215	12534631	6499018	4301699	10758544	8763310	4400153	8184270	7732976	9329298	11332446	8513842	5340743	8657955	4792682	12044124	13061963	9943197	13791787	16944588	15917022	7493127	8173465	13927603	6775894	14270580	8692950	9473983	7166703	8716279	5456135	7402552	10159706	10922395	11630022	19822316	3828523	12053592	17225168
"alanylleucine"	1683229	443956	NA	159572	NA	170761	71491	138673	66720	311177	86729	NA	NA	262099	NA	396322	281223	34976	820976	67795	3233328	NA	343478	NA	116953	41895	NA	469257	260681	3081665	NA	NA	45995	NA	125060	123023	49305	196701	913893	104694	823546	NA	42442	293191	935018	NA	88908	NA
"allantoin"	774985	2157878	939033	936281	1259959	1201198	1181159	972778	1240603	1256594	1357954	1275590	1446687	1032048	991202	1293584	1008051	1073175	1321631	837029	928479	1172047	1654764	1036679	2223642	1754333	1730443	2053401	1644257	1657797	1458528	1404413	1758349	2063859	2202467	1764028	1447592	1511899	1376572	1463321	1433022	1311149	2682579	2559248	2791983	633416	2723342	2959946
"alpha-ketoglutarate"	17161510	22074148	19414132	18994048	24670084	29468792	25150054	18693612	21862524	20883216	17760210	21242288	24655580	25234158	17796438	21292542	19652930	20007572	23012108	19555540	17073276	19354314	20112524	19366302	46240928	45740664	32985662	39399628	35359912	42072880	21338520	22423968	35487924	37358168	46373920	44549036	25122084	28995792	23223984	24376492	29024032	27646148	111802832	111667192	79854544	15876432	70694560	91151928
"arabitol/xylitol"	68714	150687	138351	133103	132049	207192	157282	129735	162443	252135	148577	167746	194435	114306	150209	226401	214834	NA	157933	194785	231085	180981	175899	126819	217103	250300	NA	270392	167594	252512	145047	NA	259750	275649	262647	260505	198683	244270	209793	212670	236539	NA	305496	351459	358918	52224	295109	394341
"arabonate/xylonate"	261764	359763	294097	398924	323981	NA	NA	NA	NA	318447	234192	NA	488059	260305	NA	NA	NA	210656	362544	NA	230318	NA	NA	NA	383029	NA	NA	795173	195507	NA	78578	NA	NA	477830	497978	673796	593143	302890	NA	NA	973623	341169	NA	364701	773710	NA	354758	278620
"arachidonate (20:4n6)"	2020055	2943123	3381775	2863332	2150913	4413032	2488241	3613801	2766334	2115034	3572353	2639823	1735188	3244961	2873211	2634841	2321642	3497709	2080990	2874012	3349862	2034505	1486570	2023692	4823462	6098769	5066317	3613052	4039076	2406494	4775216	2648940	5315106	4300161	5409100	6911451	3602253	4468890	5368983	3031209	5427168	5672526	1612176	2670279	2389544	680598	2680545	2786292
"arginine"	38358568	228472144	51497872	44136432	72359224	94406936	62035832	18853420	98789648	114337024	141941024	102386528	76501104	61967592	87453320	64343524	67191304	63564528	95566080	65893168	95220176	68834480	165197664	65064072	92736928	99393056	118499904	125375136	62178024	97776480	50625432	67968304	112197144	62730460	129302144	98578072	115363712	92241504	93053104	73224104	69359912	92324200	134616896	131879128	170695440	26269130	186572096	180489840
"argininosuccinate"	129966	227180	219886	117110	196315	287609	328828	64852	232387	410491	393427	215839	141638	212091	203094	160627	117571	110202	281518	282266	236675	197488	180922	125841	465887	574015	313810	682578	332166	581850	133289	289096	571584	391559	650164	308562	497547	186487	259173	234672	226912	393334	513593	533246	1162878	158212	598419	749441
"asparagine"	25398554	51587692	33725328	25822680	41853940	47656536	36755760	25640848	33066664	39294184	44215496	35492060	23288018	33079868	37774348	22231920	29656676	30698160	36694468	35646572	36380504	31064560	36010288	25681424	40168772	41536184	33044188	52177784	38772424	48642428	25301294	31090792	46571332	32187928	48090832	31057660	37076900	22023356	39252376	31320748	30202564	41397760	36027164	36820824	62096692	18459928	46390440	66127812
"aspartate"	29916344	50113272	28946304	25013200	30325252	34709168	51633312	46095432	40079072	48488832	48697192	35271240	28064566	50019284	37726008	22364260	28999268	28108468	40959008	39949212	35630336	32411788	26337216	20302124	71437120	73922968	38679984	68034272	59513948	67382520	41974728	50384852	61269656	47321540	64017752	34984524	41279348	24167440	40717636	34511016	28343672	35330080	33953176	34068456	67091032	15086570	42816468	58767468
"behenoyl sphingomyelin (d18:1/22:0)*"	1111929	409247	806132	815650	656792	570705	857275	1335385	344650	579018	1087950	1007355	918015	535241	613143	1268067	882622	1121421	1134074	423653	407501	1007070	643243	1217989	636208	886327	654405	1155439	501556	620853	476708	695254	1106940	1500711	825758	951592	404913	962192	387173	572925	1193731	1401085	1039293	1703354	660051	244032	1058938	1369506
"benzoate"	4863075	12493268	7570293	6777021	12515709	7790213	8200669	20610280	17610274	15286638	10418452	16170552	8403172	13178701	7890888	14583845	20983010	7432036	8772488	18282734	6958352	8144323	12559319	8929923	7313250	11670378	9027138	11294696	12663327	9810423	7834707	14670199	11447306	7860678	21992958	10695136	8973391	12887402	10803896	7596934	21694552	8745510	9324877	17631256	13827067	1319090	15166755	12997031
"beta-guanidinopropanoate"	323783	644470	600353	374365	540073	993760	935072	567977	812367	1196331	1095690	554258	822617	901240	969643	838260	629267	694875	1052682	981368	806955	790196	720341	899348	1320658	1532840	1436482	1366800	853025	1534923	528030	796646	1483591	980361	1653296	1438616	1247516	1079479	1077759	720665	1120007	1314576	1852404	1810423	2182279	293136	2107376	2012371
"betaine"	10790874	21449534	9188984	12620463	14463974	15448578	24126460	15166533	16287639	16478494	17753368	14499108	13925570	15895973	17970600	11433739	14544196	15656497	15587579	18231676	16819996	11530336	NA	11393361	21406788	20341820	8820340	21960506	19436472	23457160	13398362	14063832	20998040	18682190	22611066	17706524	21584170	14970973	19814182	15110122	NA	18018644	27044706	23307908	40384368	7202240	24782412	30061396
"biotin"	76504	477382	140727	100034	171966	266565	373813	154505	446564	764137	784084	406577	429941	570096	722438	367008	344818	394236	531030	661518	655928	471063	602630	514236	891876	1354326	690774	1343668	591242	1339760	341906	691091	1398846	517382	1312832	768012	1546298	911340	1164716	749666	853230	1429718	937869	1170912	2176649	208705	1258181	1331370
"butyrylcarnitine"	1121986	2025701	2287445	1393626	2012668	2976075	2022324	1521357	2025563	2287584	2034649	2181025	2492614	2693651	2620267	2242823	2436628	2284392	3064326	2698691	2919513	2093960	2529012	2753663	3748786	4232905	4094355	4051466	3171773	4419962	997595	2094568	4260260	3187019	4979779	4864089	4053006	3555205	3476030	2831501	2901044	3711699	8290667	8301718	8255777	1143541	9410236	9684801
"C-glycosyltryptophan"	NA	82617	60493	45068	61111	115153	97004	42633	53927	138363	122486	NA	35095	82926	105798	51572	69133	59044	96246	105944	104012	65958	58813	59468	121826	178033	114137	230206	83167	215945	34731	55435	211005	77636	226104	102138	175499	78422	130835	76013	99800	168585	140003	141669	320930	19758	176788	189935
"cadaverine"	NA	NA	NA	NA	63718	48858	232830	256484	239215	240579	215853	184061	269479	217561	159959	217732	217734	148699	261315	191290	181142	172876	99689	208617	63255	99368	61384	75466	118438	78135	NA	60910	NA	54700	73481	55764	NA	58189	53350	NA	67111	NA	NA	NA	35897	NA	NA	57014
"carboxyethyl-GABA"	343707	534897	491034	393483	459864	579142	859675	449333	553959	662643	808199	568810	334462	819378	701179	431764	538022	533727	652996	826830	677895	551483	528933	381324	834072	963938	436266	655595	572833	790572	443844	486766	896033	483480	913307	348479	868174	436367	624121	460275	589147	815326	543688	476406	749276	58643	307454	616497
"carnitine"	27056906	67089516	56773552	39639084	52342540	75975664	74560312	31161240	66351824	91967296	86011712	54383820	50133892	59751344	68526576	45732252	41476524	40277572	64627816	50353396	61967272	46490824	53524096	49762932	123220584	133398136	95754360	139107808	76559152	136681520	59396064	78904560	135228752	82216440	153473312	100899520	96605336	63126480	80894312	54028156	67889328	86970512	111136824	173836016	219047680	26070038	190803792	178769792
"carnosine"	68708	529730	165366	56740	198091	218308	251495	121826	172133	287745	361644	150500	100051	166057	188851	98501	140034	147805	218526	233013	207391	155358	280417	126458	267997	392170	155383	383987	164471	367348	92357	212407	384613	219347	432462	206797	310663	125547	105439	102033	215841	317075	254085	274764	552004	61225	307552	282862
"cholesterol"	2141636	1306846	2206444	995610	4013251	1775242	3467382	2568396	1063147	1407729	27204804	4177508	2482475	2344222	4025683	3319946	3073278	4091167	2781773	2352018	2118314	2492920	2607018	3711526	1404341	1966548	2363313	2807335	2138948	2166381	1439666	3713448	27551216	3405826	2152864	2884472	2168579	5637516	2119733	2371640	3567402	4241346	2604169	4851091	2397829	706231	2939827	3899564
