X5uM_10h X5uM_10h.1 X5uM_10h.2 X5uM_10h.3 X5uM_10h.4 X5uM_10h.5 UT_24h UT_24h.1 UT_24h.2 UT_24h.3 UT_24h.4 UT_24h.5 Veh_24h Veh_24h.1 Veh_24h.2 Veh_24h.3 Veh_24h.4 Veh_24h.5 X5uM_24h X5uM_24h.1 X5uM_24h.2 X5uM_24h.3 X5uM_24h.4 X5uM_24h.5 X10uM_24h X10uM_24h.1 X10uM_24h.2 X10uM_24h.3 X10uM_24h.4 X10uM_24h.5 UT_48h UT_48h.1 UT_48h.2 UT_48h.3 UT_48h.4 UT_48h.5 Veh_48h Veh_48h.1 Veh_48h.2 Veh_48h.3 Veh_48h.4 Veh_48h.5 X5uM_48h X5uM_48h.1 X5uM_48h.2 X5uM_48h.3 X5uM_48h.4 X5uM_48h.5 X10uM_48h X10uM_48h.1 X10uM_48h.2 X10uM_48h.3 X10uM_48h.4 X10uM_48h.5 Veh_72h Veh_72h.1 Veh_72h.2 Veh_72h.3 Veh_72h.4 Veh_72h.5
0.9567872 0.9710010 0.9704443 0.9565970 0.9564422 0.9590858 0.9568736 0.9545482 0.9561570 0.9535080 0.9633678 0.9649095 0.9774436 0.9420198 0.9593528 0.9498540 0.9492894 0.9469188 0.9674849 0.9648655 0.9640552 0.9543202 0.9526954 0.9436252 0.9580097 0.9526256 0.9550420 0.9595108 0.9547177 0.9404671 0.9343608 0.9294705 0.9429403 0.9131341 0.9312030 0.9381728 0.9402475 0.9398950 0.9393340 0.9499929 0.9488116 0.9229494 0.9412980 0.9260057 0.9491236 0.9299332 0.9406881 0.9355990 0.9225629 0.9205124 0.9510543 0.9319472 0.9334603 0.9402174 0.9419051 0.9331273 0.9255840 0.9217547 0.9176045 0.9059842
0.8339361 0.8427239 0.8445076 0.8290536 0.8379527 0.8247470 0.7980564 0.8114305 0.8168285 0.8394919 0.8406962 0.8079313 0.8310645 0.8403125 0.8296983 0.8646088 0.8232602 0.8234104 0.8090479 0.8355130 0.8402486 0.8274896 0.8368006 0.8398074 0.8331199 0.8233497 0.7662584 0.8535079 0.8500720 0.8316029 0.8466647 0.8529609 0.8114364 0.7590531 0.8374096 0.8222927 0.8521507 0.8235518 0.8588361 0.8391574 0.8315812 0.8473627 0.8376576 0.8502084 0.8571524 0.8405946 0.8260807 0.8481277 0.8256905 0.8423647 0.8545618 0.7932701 0.8254368 0.8059529 0.8548933 0.8561294 0.8129787 0.8342227 0.8397521 0.8235246
0.8979828 0.9081240 0.8852834 0.8822925 0.8911820 0.8837993 0.9092557 0.9008629 0.8899535 0.8856271 0.8890031 0.8980884 0.8963738 0.8730995 0.9006124 0.8793323 0.8824632 0.8878132 0.9073712 0.9005762 0.8806506 0.8881703 0.9003800 0.8811142 0.9146042 0.9153412 0.9275623 0.9059899 0.8816094 0.8991568 0.8962319 0.8488706 0.9037848 0.9381632 0.9035234 0.8858301 0.8833596 0.8796201 0.8916553 0.8863425 0.8886309 0.8824942 0.8956288 0.8884551 0.9106449 0.8937161 0.9117269 0.9018038 0.9083038 0.8997138 0.9200548 0.8952755 0.9065824 0.9093775 0.8859858 0.8923493 0.9057938 0.8997667 0.8994887 0.8972883
0.9453998 0.9661057 0.9623308 0.9342436 0.9409730 0.9201993 0.9871772 0.9878320 0.9733380 0.9782088 0.9681807 0.9949028 0.9522809 0.9551549 0.9841471 0.9416764 0.9857207 0.9515447 0.9755199 0.9578331 0.9517560 0.9307966 0.9512796 0.9447816 0.9977271 0.9580745 0.9916052 0.9571430 0.9498345 0.9603050 0.9791248 0.9580525 1.0178941 0.9600184 0.9908189 0.9777582 0.9732878 0.9784844 0.9746585 0.9442043 0.9792171 0.9618493 0.9752448 0.9544810 0.9736875 0.9749557 0.9799254 0.9479874 0.9875955 0.9525563 0.9715155 0.9633492 0.9845396 0.9748044 0.9955302 0.9724631 1.0177112 0.9887741 0.9943326 0.9971608
0.8365348 0.8499897 0.8859857 0.8183906 0.8611155 0.8117184 0.8854326 0.8847361 0.8390395 0.8727024 0.8817033 0.8880518 0.8676838 0.8677232 0.8934856 0.7775937 0.8937245 0.8327541 0.8795560 0.8587684 0.8598202 0.8497878 0.8352880 0.8738034 0.9025514 0.8601102 0.9020282 0.8789230 0.8569763 0.8711088 0.8620412 0.8288422 0.9034660 0.9048736 0.8463689 0.8402355 0.8612011 0.8751436 0.8620729 0.8450803 0.8761256 0.8562570 0.8864145 0.8327535 0.8576505 0.8814390 0.8372413 0.8504841 0.8948433 0.8142115 0.8735907 0.8460243 0.8882068 0.8807983 0.8846999 0.8324685 0.8971538 0.8044872 0.8580249 0.8794969
1.1144770 1.1374117 1.1304726 1.1105781 1.1138516 1.1050889 1.1381865 1.1313540 1.1232997 1.1144624 1.1350089 1.1334484 1.1256272 1.1139858 1.1303340 1.0993137 1.1289305 1.1147452 1.1350960 1.1273165 1.1225061 1.1013425 1.1220915 1.1186788 1.1545977 1.1331404 1.1609926 1.1299278 1.1184807 1.1191517 1.1204594 1.1059640 1.1470032 1.1501260 1.1266099 1.1136696 1.1152659 1.1152800 1.1282943 1.1233669 1.1335982 1.1064164 1.1255318 1.1161746 1.1373760 1.1220433 1.1441571 1.1145247 1.1460866 1.1207397 1.1462559 1.1296457 1.1479046 1.1460175 1.1268132 1.1107266 1.1335989 1.1095001 1.1134020 1.1075686
0.9293729 0.9435413 0.9181404 0.9398050 0.9370912 0.9115454 0.9484194 0.9542104 0.9514144 0.9354930 0.9409982 0.9891784 0.9665025 0.9214287 0.9237041 0.9576576 0.9798206 0.9246574 0.9528449 0.9490222 0.9329073 0.9359799 0.9675202 0.9424530 0.9550383 0.9388571 0.9557802 0.9428005 0.9240700 0.9296314 0.9417234 0.9229797 0.9633735 0.9887881 0.9218353 0.9282857 0.9146307 0.9270343 0.9317489 0.9734986 0.9346543 0.9275985 0.9676464 0.9201692 0.9483626 0.9394877 0.9608539 0.9278701 0.9729000 0.9351108 0.9680323 0.9435786 1.0058864 0.9657789 0.9109650 0.9376499 0.9282886 0.9139219 0.9438041 0.9299589
1.0292454 1.0368987 1.0324605 1.0203880 1.0245279 1.0208792 1.0375966 1.0341183 1.0380401 1.0343451 1.0435488 1.0390770 1.0433144 1.0294608 1.0381299 1.0326952 1.0309333 1.0263885 1.0431603 1.0432731 1.0398393 1.0279230 1.0363329 1.0354768 1.0439263 1.0421045 1.0545583 1.0444095 1.0355822 1.0334419 1.0343315 1.0320455 1.0406459 1.0309322 1.0374509 1.0329873 1.0375113 1.0392601 1.0394742 1.0379819 1.0407778 1.0332933 1.0414336 1.0366290 1.0431372 1.0345850 1.0459953 1.0340023 1.0434117 1.0272809 1.0488036 1.0349821 1.0434841 1.0378098 1.0390045 1.0364276 1.0341280 1.0266987 1.0325122 1.0303878
0.9367033 0.9407314 0.9369852 0.9343478 0.9442685 0.9389569 0.9355675 0.9419786 0.9410984 0.9423486 0.9460655 0.9382786 0.9481036 0.9390489 0.9421551 0.9455841 0.9415952 0.9399406 0.9427925 0.9490952 0.9451441 0.9393770 0.9435241 0.9441467 0.9378670 0.9466411 0.9319515 0.9463763 0.9387184 0.9400882 0.9304815 0.9430568 0.9413933 0.9125044 0.9352863 0.9439626 0.9554074 0.9504176 0.9455020 0.9511572 0.9419348 0.9437679 0.9429568 0.9465714 0.9500541 0.9430531 0.9421032 0.9505584 0.9485232 0.9446529 0.9432139 0.9488206 0.9528262 0.9459090 0.9460834 0.9455990 0.9379466 0.9463312 0.9388437 0.9353087
0.9894097 1.0042703 0.9961884 0.9834205 0.9850585 0.9758210 0.9989525 0.9941537 0.9869119 0.9813111 0.9994322 0.9878427 0.9967209 0.9779359 0.9881724 0.9759634 0.9863121 0.9818792 1.0029081 1.0019416 0.9892128 0.9743274 0.9890979 0.9839343 1.0141845 1.0035746 1.0188851 1.0066476 0.9941978 0.9862998 0.9928558 0.9872406 1.0076552 0.9847454 0.9983411 0.9903765 0.9778149 0.9808407 0.9986645 0.9901937 1.0082529 0.9896881 0.9927575 0.9861507 1.0082940 0.9871697 1.0077851 0.9902435 1.0114653 0.9933401 1.0193622 1.0040156 1.0086038 1.0078799 1.0017297 0.9898894 1.0098369 1.0026195 1.0008987 0.9940599
