X5uM_10h X5uM_10h.1 X5uM_10h.2 X5uM_10h.3 X5uM_10h.4 X5uM_10h.5 UT_24h UT_24h.1 UT_24h.2 UT_24h.3 UT_24h.4 UT_24h.5 Veh_24h Veh_24h.1 Veh_24h.2 Veh_24h.3 Veh_24h.4 Veh_24h.5 X5uM_24h X5uM_24h.1 X5uM_24h.2 X5uM_24h.3 X5uM_24h.4 X5uM_24h.5 X10uM_24h X10uM_24h.1 X10uM_24h.2 X10uM_24h.3 X10uM_24h.4 X10uM_24h.5 UT_48h UT_48h.1 UT_48h.2 UT_48h.3 UT_48h.4 UT_48h.5 Veh_48h Veh_48h.1 Veh_48h.2 Veh_48h.3 Veh_48h.4 Veh_48h.5 X5uM_48h X5uM_48h.1 X5uM_48h.2 X5uM_48h.3 X5uM_48h.4 X5uM_48h.5 X10uM_48h X10uM_48h.1 X10uM_48h.2 X10uM_48h.3 X10uM_48h.4 X10uM_48h.5 Veh_72h Veh_72h.1 Veh_72h.2 Veh_72h.3 Veh_72h.4 Veh_72h.5
0.7781381 0.7793096 0.7822727 0.7828486 0.7783948 0.7885792 0.7674694 0.7708878 0.7753276 0.7813129 0.7730476 0.7783923 0.7820195 0.7662269 0.7747253 0.7826403 0.7693884 0.7754786 0.7785436 0.7810070 0.7801751 0.7832350 0.7711801 0.7683098 0.7607807 0.7691414 0.7542153 0.7726521 0.7806581 0.7709545 0.7607377 0.7710855 0.7552121 0.7057779 0.7604265 0.7723923 0.7679390 0.7684349 0.7647866 0.7655917 0.7654902 0.7623787 0.7634086 0.7583429 0.7618758 0.7573463 0.7505829 0.7651170 0.7350132 0.7504265 0.7539966 0.7474335 0.7411649 0.7478212 0.7669604 0.7683551 0.7526734 0.7612184 0.7592804 0.7524465
0.6782255 0.6763566 0.6807555 0.6784711 0.6819628 0.6781232 0.6400886 0.6553068 0.6623491 0.6878871 0.6746107 0.6517580 0.6649065 0.6834994 0.6700229 0.7124017 0.6672432 0.6743315 0.6510480 0.6763031 0.6799829 0.6791419 0.6773665 0.6837802 0.6616024 0.6647652 0.6051291 0.6872925 0.6950909 0.6817122 0.6893373 0.7076135 0.6498891 0.5866859 0.6838342 0.6769889 0.6959867 0.6733155 0.6992469 0.6762702 0.6709101 0.6999423 0.6793545 0.6962695 0.6880491 0.6845881 0.6591367 0.6935845 0.6578342 0.6867184 0.6774973 0.6362127 0.6553945 0.6410312 0.6961097 0.7049535 0.6611042 0.6889314 0.6948607 0.6839614
0.7303135 0.7288456 0.7136247 0.7220401 0.7252831 0.7266772 0.7292771 0.7275319 0.7216446 0.7256907 0.7133742 0.7244877 0.7171583 0.7101679 0.7272895 0.7245333 0.7152265 0.7270741 0.7301695 0.7289682 0.7126788 0.7289441 0.7288323 0.7174127 0.7263112 0.7390383 0.7325140 0.7295540 0.7208786 0.7370901 0.7296940 0.7042201 0.7238520 0.7251233 0.7378231 0.7292988 0.7214763 0.7191556 0.7259676 0.7142963 0.7169371 0.7289617 0.7263702 0.7275912 0.7309884 0.7278507 0.7274745 0.7374799 0.7236528 0.7334710 0.7294202 0.7180223 0.7198239 0.7232921 0.7214273 0.7347777 0.7365803 0.7430599 0.7442904 0.7452243
0.7688770 0.7753808 0.7757325 0.7645553 0.7658052 0.7566059 0.7917748 0.7977677 0.7892593 0.8015530 0.7769097 0.8025878 0.7618877 0.7769108 0.7947480 0.7759023 0.7989156 0.7792670 0.7850094 0.7753147 0.7702218 0.7639286 0.7700340 0.7692513 0.7923214 0.7735408 0.7830899 0.7707454 0.7766652 0.7872167 0.7971837 0.7947971 0.8152435 0.7420156 0.8091092 0.8049827 0.7949244 0.7999846 0.7935471 0.7609267 0.7900210 0.7945110 0.7909401 0.7816625 0.7815936 0.7940130 0.7818906 0.7752480 0.7868251 0.7765495 0.7702182 0.7726183 0.7817216 0.7753307 0.8106255 0.8007449 0.8275901 0.8165655 0.8227698 0.8281713
0.6803390 0.6821879 0.7141909 0.6697448 0.7008137 0.6674108 0.7101696 0.7145080 0.6803595 0.7151000 0.7075165 0.7163912 0.6942044 0.7057949 0.7215343 0.6407049 0.7243537 0.6819835 0.7077864 0.6951271 0.6958215 0.6974426 0.6761421 0.7114602 0.7167398 0.6944453 0.7123492 0.7077582 0.7007364 0.7140975 0.7018566 0.6876046 0.7235966 0.6993933 0.6911504 0.6917611 0.7033785 0.7154957 0.7018822 0.6810434 0.7068480 0.7072892 0.7188972 0.6819750 0.6884490 0.7178521 0.6680418 0.6955115 0.7129287 0.6637671 0.6925834 0.6785222 0.7052337 0.7005610 0.7203802 0.6854707 0.7295543 0.6643747 0.7099807 0.7304480
0.9063845 0.9128682 0.9112712 0.9088618 0.9065015 0.9086258 0.9128932 0.9136753 0.9108601 0.9132004 0.9107798 0.9143526 0.9005762 0.9061018 0.9128012 0.9057889 0.9149855 0.9129199 0.9134217 0.9125024 0.9084037 0.9039000 0.9083015 0.9108403 0.9168964 0.9148875 0.9168584 0.9098814 0.9145646 0.9174324 0.9122555 0.9175039 0.9186485 0.8889532 0.9199970 0.9168778 0.9108837 0.9118253 0.9186343 0.9053123 0.9145738 0.9139270 0.9128254 0.9140798 0.9129888 0.9138025 0.9129324 0.9114394 0.9130963 0.9136572 0.9087526 0.9059901 0.9114330 0.9115086 0.9175246 0.9145938 0.9218285 0.9162653 0.9212949 0.9198683
0.7558426 0.7572709 0.7401107 0.7691065 0.7626461 0.7494905 0.7606887 0.7706151 0.7714819 0.7665512 0.7550973 0.7979700 0.7732659 0.7494783 0.7459373 0.7890701 0.7941336 0.7572476 0.7667627 0.7681827 0.7549683 0.7681827 0.7831803 0.7673554 0.7584211 0.7580249 0.7547982 0.7591960 0.7555980 0.7620718 0.7667322 0.7657008 0.7715773 0.7642523 0.7527767 0.7642523 0.7470167 0.7579203 0.7586110 0.7845347 0.7540682 0.7662190 0.7847777 0.7535632 0.7612649 0.7651275 0.7666733 0.7587964 0.7751171 0.7623275 0.7674568 0.7567619 0.7986709 0.7681521 0.7417670 0.7720791 0.7548728 0.7547498 0.7809595 0.7723582
0.8370672 0.8321980 0.8322639 0.8350531 0.8338059 0.8393869 0.8322141 0.8351482 0.8417249 0.8475515 0.8373883 0.8382232 0.8347205 0.8373502 0.8383418 0.8508979 0.8355599 0.8405603 0.8394403 0.8444737 0.8415045 0.8436427 0.8388823 0.8430963 0.8290094 0.8413859 0.8328052 0.8410173 0.8467798 0.8471712 0.8421319 0.8561814 0.8334657 0.7968262 0.8471892 0.8504525 0.8473784 0.8496733 0.8463187 0.8365012 0.8396875 0.8535255 0.8446203 0.8489368 0.8373419 0.8425756 0.8346084 0.8455896 0.8312944 0.8374671 0.8314923 0.8300687 0.8285234 0.8254433 0.8460251 0.8534146 0.8409400 0.8478850 0.8543619 0.8557674
0.7618043 0.7550158 0.7553015 0.7646405 0.7684873 0.7720288 0.7503807 0.7607367 0.7631169 0.7721688 0.7591635 0.7569092 0.7585456 0.7638103 0.7608374 0.7791221 0.7631523 0.7697638 0.7586734 0.7682418 0.7648711 0.7709707 0.7637562 0.7687344 0.7447848 0.7643096 0.7359802 0.7620754 0.7675757 0.7706438 0.7575793 0.7823567 0.7539731 0.7052912 0.7637609 0.7771590 0.7803207 0.7770379 0.7698085 0.7665299 0.7599420 0.7795753 0.7647540 0.7751850 0.7626227 0.7680312 0.7517120 0.7773505 0.7556959 0.7701065 0.7477807 0.7609661 0.7565413 0.7523482 0.7703627 0.7786245 0.7627265 0.7815146 0.7768550 0.7768014
0.8046695 0.8060110 0.8030250 0.8048001 0.8016840 0.8023392 0.8012193 0.8028730 0.8002661 0.8040950 0.8019872 0.7968925 0.7974426 0.7954405 0.7979986 0.8041533 0.7993949 0.8041094 0.8070489 0.8110181 0.8005343 0.7996555 0.8006469 0.8011299 0.8053906 0.8102772 0.8046334 0.8106093 0.8129403 0.8085261 0.8083632 0.8190114 0.8070430 0.7611276 0.8152518 0.8153713 0.7986218 0.8019111 0.8130924 0.7979891 0.8134468 0.8175065 0.8051432 0.8075981 0.8093728 0.8039601 0.8041201 0.8098043 0.8058424 0.8097976 0.8081511 0.8052332 0.8008286 0.8016380 0.8156735 0.8150941 0.8211868 0.8279995 0.8282030 0.8255960
