"5uM_10h"	"5uM_10h.1"	"5uM_10h.2"	"5uM_10h.3"	"5uM_10h.4"	"5uM_10h.5"	"10uM_10h"	"10uM_10h.1"	"10uM_10h.2"	"10uM_10h.3"	"10uM_10h.4"	"10uM_10h.5"	"UT_24h"	"UT_24h.1"	"UT_24h.2"	"UT_24h.3"	"UT_24h.4"	"UT_24h.5"	"Veh_24h"	"Veh_24h.1"	"Veh_24h.2"	"Veh_24h.3"	"Veh_24h.4"	"Veh_24h.5"	"10uM_24h"	"10uM_24h.1"	"10uM_24h.2"	"10uM_24h.3"	"10uM_24h.4"	"10uM_24h.5"	"Veh_48h"	"Veh_48h.1"	"Veh_48h.2"	"Veh_48h.3"	"Veh_48h.4"	"Veh_48h.5"	"5uM_48h"	"5uM_48h.1"	"5uM_48h.2"	"5uM_48h.3"	"5uM_48h.4"	"5uM_48h.5"	"Veh_72h"	"Veh_72h.1"	"Veh_72h.2"	"Veh_72h.3"	"Veh_72h.4"	"Veh_72h.5"
"1-stearoyl-2-oleoyl-GPE (18:0/18:1)"	2831401	2349119	2249782	3944639	2425557	3591054	3631794	1930490	1228837	3406346	2495576	4463304	2860621	3456232	2723415	4423737	2181878	2879789	1911736	2998663	3041490	5382189	3705757	4625750	1668183	3020859	1727628	2758574	3803587	4991073	4139263	4145510	3678851	2991214	2556900	5199487	2686050	3516191	1580532	2768105	1796558	3371006	3411642	2553277	4143269	5127441	4443650	5685657
"1-stearoyl-2-oleoyl-GPI (18:0/18:1)*"	530981	388864	352728	581226	410760	573550	570379	424003	319102	512101	406367	692846	283905	389458	296265	449216	231279	392550	231269	443752	425112	569423	412193	446831	447058	671236	506152	557634	795901	1027960	483227	486127	455842	450560	398442	640891	690266	664027	379264	646292	481215	765785	665385	635467	811504	981183	860874	1139107
"1-stearoyl-2-oleoyl-GPS (18:0/18:1)"	10682115	6696311	7425478	12410044	10842701	11636894	12699488	6114077	6583254	12468490	9393128	14588450	5378561	9018226	8932306	11997050	6313039	8895150	6395649	8326911	7812464	17123552	9115336	11277075	6080712	11479834	5432017	9226797	13644269	14713317	11612852	11492760	12111110	7886279	8481314	18299080	10483805	13138817	8232975	13276216	7706659	14913376	13300253	13734758	13076992	19372920	19227508	22627792
"1-stearoyl-GPC (18:0)"	2931528	3644697	2827025	3125928	2323753	2786681	2934137	3233303	3545678	3115478	2852771	2972643	3297820	3244231	3274815	3085756	3409582	2764421	3233321	2520306	2927240	3486158	3209534	3545686	4617997	4318825	4255895	5447668	5387166	4016579	4727409	4609164	6230538	4605830	6996243	7031163	5271143	6151472	5933691	4463182	5293102	5303968	8010418	8027376	10778791	11821314	14481902	13161078
"1-stearoyl-GPE (18:0)"	301508	299662	257124	265785	290432	340508	277068	235596	271373	336292	330531	327594	452700	504678	490304	522353	464170	429336	378141	362594	457584	554972	540450	514516	453349	553144	417139	482314	535962	449318	902313	837531	1154290	879714	1196996	1658209	648258	622783	652200	607669	620311	594659	1531131	1382727	1983533	2155599	2390362	2322401
"1-stearoyl-GPG (18:0)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59096	71744	138701	NA	79965	124589	NA	NA	48168	NA	NA	NA	90708	117124	161401	151839	263738	139860
"1-stearoyl-GPI (18:0)"	315408	710906	640028	526553	559550	659205	262275	607802	959033	175625	488203	425136	629324	752652	397487	556944	507502	705884	89492	247666	801100	230366	779009	580244	933293	1280983	1377791	524969	1282512	1843292	943153	985523	1631041	632884	709085	1404848	1749484	2519463	1763008	1887583	1967236	2201041	1750182	1788617	2622145	2018318	3542585	2536974
"1-stearoyl-GPS (18:0)*"	120189	243347	249320	210333	221582	264780	75131	197212	411936	83684	193756	123099	286349	466357	249300	364104	239525	475054	NA	131648	458953	189063	410461	309487	268364	420152	419815	111983	384195	588675	490942	487315	683355	341857	339840	670415	433036	659672	467584	564981	501583	583794	747059	771393	1134190	814895	1408033	1096550
"2'-deoxyadenosine"	113646	229617	166044	116017	65411	106243	221566	256885	207721	169310	84621	82289	415334	502449	171214	362345	197843	405824	63090	118159	264875	143348	261067	140192	270591	143957	201244	159202	164089	332796	198253	367902	125225	67646	167404	163246	101094	104402	66665	175682	71594	65029	378685	171581	422216	227010	221690	501483
"2'-deoxycytidine"	NA	41107	51722	25587	NA	NA	NA	75389	NA	26309	NA	NA	57811	174317	52524	105501	47924	120080	NA	54172	111602	51379	83991	52254	39889	29085	NA	NA	NA	66180	57197	101194	NA	28729	34519	43805	NA	NA	NA	45522	NA	NA	90511	65904	113899	53182	75505	114506
"2-aminoadipate"	148826	123336	NA	108611	114443	NA	110927	NA	103234	NA	116926	116091	185815	199868	163050	217945	178237	195886	61176	NA	190815	NA	200530	214944	NA	142112	128622	NA	131623	111948	158287	222965	329732	67536	330949	366631	140003	132548	117200	147661	131366	141336	302349	259251	352067	347942	494422	417143
"2-hydroxyadipate"	NA	176841	222086	327663	184571	NA	509721	NA	NA	336339	171133	486983	283331	137724	744451	390725	NA	783405	282247	136244	238948	356567	160944	NA	286858	979099	NA	NA	808360	882540	216626	289773	539518	NA	337757	481052	383441	329885	350806	867176	306918	523725	593422	494304	892229	781543	1244460	659881
"2-hydroxyglutarate"	22457080	16363621	15104212	20768068	16063764	15992841	21026124	16275582	17173620	19367024	16411259	17427200	26469520	25556118	23981904	29677014	19747422	22263356	16428818	16452211	25260096	27563656	29454872	25650316	23081172	26892784	23647744	23054188	24277648	22794428	36522080	36669372	61228504	30428908	53984504	60305840	45691584	38018116	37449012	35876256	36301012	34637252	75295000	69305144	93026344	126629944	111938064	99371704
"2-methylbutyrylcarnitine (C5)"	2143549	2309716	2409042	2037674	1823264	2047492	2057833	2427245	1990948	1557241	1651320	2026579	3874374	4480279	3348356	4535999	3208395	4108823	2870181	2530042	4669283	3398871	5288833	3952104	2608815	2003254	1716606	1229277	2705680	2487531	4233813	5341842	5409827	2760005	5634093	5993395	3279824	2479290	2993203	3106983	2432347	2352098	9053805	7113629	12397679	10256729	11191129	11582128
"2-methylcitrate/homocitrate"	201890	200142	175684	184987	209502	162461	221002	188706	172408	210681	262990	147706	186414	216274	177717	177264	193468	152911	167921	149136	164191	172814	190311	173216	198975	207930	159793	151139	208696	211722	135879	209258	181128	150988	266798	232665	196103	184438	170000	182928	241252	268539	236770	254327	283736	305929	330285	270237
"2-palmitoyl-GPC (16:0)*"	209090	428056	315906	398670	298556	282151	260900	340402	453075	208279	263809	201771	309348	383575	324686	342136	194167	348964	124276	116931	715395	209026	307672	272389	350552	519735	463021	359711	435315	510974	273953	296637	513750	313485	378623	604631	416401	450064	475837	384806	377366	384119	525067	510886	748237	665528	894093	796400
"2-stearoyl-GPE (18:0)*"	NA	NA	88736	60684	NA	NA	NA	NA	54236	NA	NA	58440	81648	109911	104185	107518	NA	125302	NA	NA	129584	NA	128137	130936	84848	104627	92332	NA	174512	78726	182410	170405	384834	205747	345041	385392	117690	162302	168545	173875	158902	181234	416728	373362	556202	574170	676383	707384
"3-(4-hydroxyphenyl)lactate"	118523	110148	95201	81615	164805	102109	83687	126731	121415	110526	143882	73499	105229	118439	146689	142168	157573	138543	NA	59598	125096	107050	199776	157353	149384	106523	144473	139975	154597	128894	160098	137742	169420	137905	205228	207878	156337	203653	175372	206402	181680	144226	200727	175188	228999	197546	254280	247699
"3-hydroxy-3-methylglutarate"	19158120	14312985	15521090	20809492	14928894	15886526	18358698	14379839	17195892	18637562	16324297	18213452	17668752	15916509	17587678	20833414	14796232	14856613	14240298	15400521	15423689	18930592	17989716	17403530	21698700	25928568	27478240	27664828	24128816	23791940	11562527	11214588	14357695	6890169	13420861	15363637	20638264	15389981	16863286	17958428	16672001	15954385	14776451	13258744	16105702	20210494	21883260	17620972
"3-hydroxybutyrylcarnitine (1)"	NA	NA	94501	NA	NA	NA	119195	75595	114855	NA	NA	70852	177995	130820	115629	247803	NA	256776	NA	NA	208584	NA	148166	NA	231089	NA	NA	NA	NA	84316	NA	246342	127551	NA	NA	NA	163117	131841	NA	168077	45748	NA	264490	99476	426113	188832	212070	394027
"3-hydroxybutyrylcarnitine (2)"	NA	NA	NA	NA	NA	NA	NA	NA	118606	NA	NA	75226	156370	NA	NA	149587	105771	90435	NA	NA	118554	NA	193665	NA	163670	NA	NA	NA	NA	NA	NA	110084	142516	NA	NA	NA	207273	155147	NA	NA	NA	NA	326159	189805	575565	347884	491367	547740
"3-hydroxydecanoate"	71045	112345	81125	92260	78425	83380	NA	75930	81836	NA	69469	NA	NA	112701	NA	64671	79247	70390	NA	77497	59685	NA	117305	66862	NA	92628	98316	NA	123365	87976	80923	124062	NA	NA	94166	NA	89858	86424	85652	98598	117441	119145	71901	79843	NA	NA	120398	63804
"3-methyl-2-oxobutyrate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	196051	264391	167289	NA	NA	187952	NA	NA	203960	NA	232197	223823	NA	NA	NA	NA	189686	NA	182089	298827	240376	NA	387477	366583	NA	136800	92872	211384	239907	227949	459311	363519	471598	635365	668838	632028
"3-methyl-2-oxovalerate"	NA	NA	202392	223168	NA	NA	NA	NA	NA	NA	174823	NA	346665	269840	335288	363458	307768	265343	NA	202670	276813	NA	158861	260292	202629	172135	NA	142371	NA	224828	439068	242607	513858	180922	584814	652263	329290	326270	293157	274193	229434	159316	676992	512646	937932	956251	813300	1066147
"3-methylhistidine"	NA	NA	NA	NA	NA	NA	48078	NA	NA	NA	NA	NA	113387	71785	81222	NA	NA	84909	NA	NA	101830	NA	226696	NA	NA	NA	NA	NA	62976	60663	112166	105742	81586	NA	272987	98963	71584	NA	NA	NA	40548	58596	507468	184195	542019	366813	700238	790821
"3-phosphoglycerate"	1262003	669741	1101433	1106694	1219436	1185710	1108122	488788	1082965	1134139	1147204	1133515	1491744	1375829	1768967	1997790	1205333	1135365	1465023	1266571	1919334	1694642	2000100	1939414	1362985	1433568	1376315	1360350	1370526	1309108	1988321	1957404	2552175	1588749	3184744	2838756	1854742	1629063	2135526	1896901	1866712	1715060	2239953	1869206	2917559	2840224	3425469	2919847
"3-ureidopropionate"	69513	100493	81420	52517	110527	112843	108041	127126	87857	93288	118958	56241	168961	257812	130507	194941	185155	203978	69909	70292	220419	150171	321906	122762	226903	116054	139854	158289	211423	226770	296687	428691	439187	396491	700885	808559	491167	456617	459092	427691	434535	326351	823214	444862	1484719	1439309	845918	1452226
"4-acetamidobutanoate"	267130	621417	535501	366806	370457	533644	708950	581584	562717	559655	580047	362366	585369	670515	439343	846341	616662	898683	495279	405540	730176	499102	839140	434783	821299	423902	565357	324043	568541	701639	707950	847440	744350	442080	711492	875643	693409	648390	786900	593531	549538	554429	940957	509072	1210686	805734	771616	1040927
"4-guanidinobutanoate"	3559581	3782803	3420382	3295998	3215944	2900209	3434851	3260282	3539341	3115666	5042314	4533914	9597225	9220704	8102662	8999843	6515857	9143332	4531182	5645194	8493591	7637049	9904147	10316212	6767232	5890133	6325633	5792196	7929747	7829827	10059121	11295154	14790545	6117427	13882270	12692667	9196981	9251055	9575869	9226888	11429090	8262843	11433177	9032011	14410728	13665216	18045108	15008581
"4-hydroxy-nonenal-glutathione"	46463	55466	68257	59974	49280	49684	71625	65139	79192	56615	51268	56768	59103	83552	57156	67317	52900	66505	60535	64842	50915	70013	67438	73588	52376	72631	63764	63415	64079	72185	65971	81664	66074	49047	56634	80014	58330	69785	59383	61571	57092	52561	62987	88236	62106	83525	83998	75140
"4-hydroxyglutamate"	NA	55744	41166	NA	31556	NA	NA	55735	28558	35070	33987	26017	93518	136296	NA	109843	85862	120846	NA	62608	126006	72829	111723	44836	94299	18410	99445	60997	53515	78361	129582	133123	64123	59009	78007	78905	102285	NA	39805	103413	NA	27963	98658	NA	148641	96444	91923	147440
"4-imidazoleacetate"	648386	860802	798252	638563	580116	583023	859585	910932	896728	722454	892553	741802	748528	818756	583936	872246	602255	781598	597215	704124	885043	608296	918286	633230	880349	635867	857854	700529	1062257	1172381	598951	766070	488951	360504	488455	575732	682625	614249	477801	703300	681274	591143	514782	371787	611891	480953	433478	524714
"4-methyl-2-oxopentanoate"	426040	278862	333307	361522	NA	320814	678353	296012	1706196	665813	502227	NA	821668	536600	349879	854483	466579	585428	576763	379689	588313	667465	569512	384488	605677	NA	288731	564097	404917	NA	566456	458771	714967	651163	919024	836123	538634	428212	571811	579428	400834	420577	913099	878061	1192285	1113933	1201667	1192456
"5-aminovalerate"	NA	8548778	8206345	NA	10081220	5681654	7575588	7835690	9139441	NA	NA	8682022	13429301	13971842	11545589	17872800	15442774	15425130	12427782	10741973	15166001	9687172	17291640	NA	12717486	11645774	11347577	3559485	9238575	13624079	12824878	14995822	8932342	NA	14724215	11875900	10457020	13246163	10521746	14389411	6386911	NA	10219600	6750036	11518210	7219520	8411258	9287473
"5-hydroxyindoleacetate"	74465	153118	144116	95570	134293	133441	161169	173873	181221	104248	167797	118332	NA	89870	77317	58689	NA	38618	24765	57143	66985	NA	NA	NA	81489	71331	NA	57313	137048	253250	90113	55907	70431	39922	71292	NA	149823	136578	NA	114244	189257	197657	132618	87241	NA	155693	173385	121377
"5-methylthioadenosine (MTA)"	5262727	9391249	8754312	4952443	5341960	5178332	8997911	11698012	9134376	5441665	6928520	4629489	14208478	17929484	7240679	15960749	10166543	20000680	4797593	10895568	17043880	9433458	20041548	7953759	14128272	6696309	9098182	6689850	9256031	10436074	15760244	20235142	10713032	6049592	14915627	11774593	13546494	11592159	7028382	13052362	8830795	6407739	15448145	11586544	35730168	19985004	21763124	31707862
"5-oxoproline"	23763340	20040062	18093288	21571768	19687200	16566351	26265926	21825572	19088400	24593506	29364140	21423704	26623710	24422692	28585646	26789714	24065598	28447244	21046408	18600776	29398298	26126446	29059724	27534966	26245482	26118506	22721444	25717370	24746640	22404308	30841338	31941708	39131932	20380498	36334080	42587160	26104460	21761154	24020668	23389528	26054860	18926644	41633120	38369728	52128128	49457972	53449612	53742280
"5-phosphoribosyl diphosphate (PRPP)"	15609	28204	NA	NA	NA	NA	NA	31068	NA	NA	NA	NA	52657	76785	73097	40095	89720	96719	NA	29962	61089	18714	70107	78442	24678	23240	NA	26613	34146	43725	190096	241824	206990	172255	119107	196698	89586	111332	120335	84426	74259	117582	146698	268677	174907	179165	180844	231564
"6-oxopiperidine-2-carboxylic acid"	NA	640711	NA	NA	NA	NA	NA	355668	689298	NA	114272	NA	588975	NA	NA	221276	139062	566192	305239	1341193	774546	NA	644024	NA	442120	NA	NA	NA	NA	609553	1070648	299378	558400	NA	741575	1275664	NA	823357	NA	405837	NA	608965	1365683	266565	945445	764959	NA	1011694
"6-phosphogluconate"	578039	312650	705115	729250	1418084	1445151	572198	256222	551474	602577	1753072	1650032	715145	764576	990779	1128160	539306	594444	669267	727341	872583	898548	962781	914271	609468	659906	579909	585628	662264	630256	771371	881136	663039	428781	960474	1059511	727762	672192	641672	590145	719930	745428	698665	681955	1153268	1142846	1630114	1643620
"acetyl CoA"	17140	17289	NA	24890	NA	NA	NA	32773	42601	32414	33006	12219	NA	NA	14499	NA	NA	NA	NA	NA	NA	NA	NA	15237	28142	18079	30685	27023	14357	30843	NA	NA	14741	25426	NA	23248	30219	30040	NA	NA	16313	33917	NA	NA	25150	28373	16095	33667
"acetylcarnitine"	18790728	35082972	22483588	17788684	12263197	12871848	32406796	42241460	27747452	20155560	12891267	12197212	52701344	70976856	37368396	65764436	42567304	68429360	20170498	29053392	52016848	30627524	57289888	28588672	60310868	26248804	43165056	29693214	29632988	56629668	50032536	60690920	40437352	22400946	40473448	41011412	43684684	32665196	32098602	43740988	21947504	26038582	96077120	58144292	179653680	126626688	108935056	136755568
"aconitate [cis or trans]"	3066784	3273084	2810376	2907202	3847784	3559434	3255016	3242578	2663810	2678340	3635858	3888912	6449229	7005459	5812094	5796326	5271469	6405768	3130288	3454536	5314600	4699971	6074248	5920276	3640609	4001252	3217736	3075530	4032435	4333558	7592332	8694723	9609984	5304049	7886795	9086168	6476402	6092943	5550620	5428775	5253414	5515191	9409303	9369925	11882243	11369585	12982246	12114956
"adenine"	6401870	10505651	7302018	6767526	9253940	6616053	7988434	9518882	8632765	5681156	8331253	6369948	12579862	7422789	5174778	10843184	11828689	7826900	7231142	9671069	10821932	7458798	14679493	4484286	11506878	8548121	7591577	6929301	10737184	6640178	5670887	11140687	4446085	6078299	12253516	4921267	6514362	5895391	4280272	9838874	8918192	3189224	27945240	4449919	11963503	13949218	20170754	9368517
"adenosine"	2790264	3973956	3561998	3249801	2973509	2577249	4005535	9983026	5396331	3266939	2547306	2322421	11814868	12935224	4250251	8937994	10866623	13304372	4097865	4281381	9132120	3983347	16014630	6201423	11129642	5464073	8820923	5137655	6989088	10200134	9483624	9508531	11825282	3726240	10488939	8822231	12303468	8127851	9061176	10427092	10253708	7254458	18212548	5359173	25041546	21201808	26014752	25051890
"adenosine 3',5'-cyclic monophosphate (cAMP)"	75021	56947	74774	46756	NA	NA	93920	55307	96846	85618	23946	49657	296919	307103	107566	74591	105349	73596	67338	NA	108200	91287	115144	106382	61485	88272	98830	99580	107506	116990	167839	186316	206051	106942	168572	213236	138702	169832	119699	130370	102571	93849	347090	387912	188514	229649	223484	234511
"adenosine 5'-diphosphate (ADP)"	5637716	5647760	5703435	5130769	4766060	5771885	5525162	5253173	6339800	5642315	3994161	6027425	10383161	9796032	10461605	9208003	9115177	9782185	8092696	6866736	9581334	9149505	8079462	9607652	7480327	8172605	8421889	8447344	7015913	8655251	8357612	9002433	10718954	5911413	9449825	11692549	6792050	6259554	8930636	6407964	5691558	6543049	12451413	11088731	13277679	12430857	13020196	14716287
"adenosine 5'-diphosphoribose (ADP-ribose)"	68001	151505	110429	87697	114012	124176	66566	112234	125154	57073	64269	132476	88880	165706	190855	122139	127415	200281	59109	128633	206839	79500	159511	193435	92740	113484	154776	63911	158660	133727	150354	241392	325963	91510	200722	274327	114389	190026	209786	146094	194952	226873	189364	226354	399287	191226	307384	361670
"adenosine 5'-monophosphate (AMP)"	762918	1168424	1125136	773436	786630	1088659	695603	1042864	1235195	850922	555787	1176659	1603587	1854811	1831721	1442707	1492911	1687804	1015648	1164634	1550496	1260953	1386365	1849080	1287073	1444008	1746417	1280438	1397974	1888071	1333195	1754736	1715535	899013	1517385	2001230	1066822	1193693	1680012	1118910	980626	1426962	1914371	1966420	2223265	1851197	2140080	2424193
"AICA ribonucleotide"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82600	NA	212374	71465	NA	NA	NA	NA	NA	NA	453900	413034	229515	124510	292497	358542	349169	235867	139036	236634	129736	101692	288258	160310	232058	231960	247546	523424
"alanine"	4301699	10758544	8763310	4400153	8184270	7732976	9329298	11332446	8513842	5340743	8657955	4792682	12044124	13061963	9943197	13791787	16944588	15917022	7493127	8173465	13927603	6775894	14270580	8692950	9473983	7166703	8716279	5456135	7402552	10159706	13282773	14319027	12381628	11967712	17936092	14424741	11739389	9913802	11522983	10684170	10369820	9945454	23321496	13120353	30508384	26424042	26120962	30239888
"alanylleucine"	NA	262099	NA	396322	281223	34976	820976	67795	3233328	NA	343478	NA	116953	41895	NA	469257	260681	3081665	NA	NA	45995	NA	125060	123023	49305	196701	913893	104694	823546	NA	132494	357930	81688	86658	NA	NA	1978339	50453	1381626	266490	757559	NA	80038	170307	NA	85609	1602535	239955
"allantoin"	1446687	1032048	991202	1293584	1008051	1073175	1321631	837029	928479	1172047	1654764	1036679	2223642	1754333	1730443	2053401	1644257	1657797	1458528	1404413	1758349	2063859	2202467	1764028	1447592	1511899	1376572	1463321	1433022	1311149	2091221	2069104	2658427	1286374	3109717	2823466	2140337	1578967	1738387	1876451	1718231	1419087	3672692	2877414	3039831	4351021	3908939	3184611
"alpha-ketoglutarate"	24655580	25234158	17796438	21292542	19652930	20007572	23012108	19555540	17073276	19354314	20112524	19366302	46240928	45740664	32985662	39399628	35359912	42072880	21338520	22423968	35487924	37358168	46373920	44549036	25122084	28995792	23223984	24376492	29024032	27646148	61384320	63679108	97116344	44101804	84125584	95701008	71919152	57594508	49345496	46779508	46999456	46977452	116218272	107469648	135175040	167803904	173186720	154585472
"arabitol/xylitol"	194435	114306	150209	226401	214834	NA	157933	194785	231085	180981	175899	126819	217103	250300	NA	270392	167594	252512	145047	NA	259750	275649	262647	260505	198683	244270	209793	212670	236539	NA	226637	221347	318312	227294	265156	424521	262519	268540	274658	228505	266778	278456	348897	360312	423055	544940	626979	NA
"arabonate/xylonate"	488059	260305	NA	NA	NA	210656	362544	NA	230318	NA	NA	NA	383029	NA	NA	795173	195507	NA	78578	NA	NA	477830	497978	673796	593143	302890	NA	NA	973623	341169	533050	NA	522819	NA	557374	609707	450329	257030	NA	348197	458380	NA	1116103	NA	435593	364061	368370	439387
"arachidonate (20:4n6)"	1735188	3244961	2873211	2634841	2321642	3497709	2080990	2874012	3349862	2034505	1486570	2023692	4823462	6098769	5066317	3613052	4039076	2406494	4775216	2648940	5315106	4300161	5409100	6911451	3602253	4468890	5368983	3031209	5427168	5672526	2357040	3136362	2885342	1355352	2678384	3605233	1564588	2601589	2800181	2435757	2939111	4415306	2850177	2322451	2632953	2124875	2675855	2447033
"arginine"	76501104	61967592	87453320	64343524	67191304	63564528	95566080	65893168	95220176	68834480	165197664	65064072	92736928	99393056	118499904	125375136	62178024	97776480	50625432	67968304	112197144	62730460	129302144	98578072	115363712	92241504	93053104	73224104	69359912	92324200	99068648	108084048	111042888	46191684	137609600	140115744	82413040	75479728	62420976	80357232	73431904	65030960	177624864	150648752	245037296	192456720	237210368	222997008
"argininosuccinate"	141638	212091	203094	160627	117571	110202	281518	282266	236675	197488	180922	125841	465887	574015	313810	682578	332166	581850	133289	289096	571584	391559	650164	308562	497547	186487	259173	234672	226912	393334	539490	658025	372943	267198	534303	523410	422605	269183	175284	332407	186668	198085	889274	391846	1573850	986449	927505	1704842
"asparagine"	23288018	33079868	37774348	22231920	29656676	30698160	36694468	35646572	36380504	31064560	36010288	25681424	40168772	41536184	33044188	52177784	38772424	48642428	25301294	31090792	46571332	32187928	48090832	31057660	37076900	22023356	39252376	31320748	30202564	41397760	42780068	46506216	39220272	29183470	52306892	56667400	43750368	38512936	41366044	42709776	36572072	38151224	67170872	42099348	88421800	73170712	61610264	98327808
"aspartate"	28064566	50019284	37726008	22364260	28999268	28108468	40959008	39949212	35630336	32411788	26337216	20302124	71437120	73922968	38679984	68034272	59513948	67382520	41974728	50384852	61269656	47321540	64017752	34984524	41279348	24167440	40717636	34511016	28343672	35330080	50714516	52961332	39047808	29017036	49679440	46594688	38405604	33628592	31727692	35775304	29148732	23664628	64773948	34710904	64256720	57427824	45226516	55508088
"behenoyl sphingomyelin (d18:1/22:0)*"	918015	535241	613143	1268067	882622	1121421	1134074	423653	407501	1007070	643243	1217989	636208	886327	654405	1155439	501556	620853	476708	695254	1106940	1500711	825758	951592	404913	962192	387173	572925	1193731	1401085	949074	1089960	919563	844950	629386	1674820	792221	1039900	454206	835397	532328	1112240	1059768	1015638	1060310	1674464	1521565	1491702
"benzoate"	8403172	13178701	7890888	14583845	20983010	7432036	8772488	18282734	6958352	8144323	12559319	8929923	7313250	11670378	9027138	11294696	12663327	9810423	7834707	14670199	11447306	7860678	21992958	10695136	8973391	12887402	10803896	7596934	21694552	8745510	7864471	12585854	11194802	4464554	14652939	12418863	7345933	11926959	9946338	6145504	11057618	11694413	8790710	28203732	15278228	18407592	25871146	14140036
"beta-guanidinopropanoate"	822617	901240	969643	838260	629267	694875	1052682	981368	806955	790196	720341	899348	1320658	1532840	1436482	1366800	853025	1534923	528030	796646	1483591	980361	1653296	1438616	1247516	1079479	1077759	720665	1120007	1314576	1360081	1788753	2091800	853835	1534365	NA	1019777	1057014	942739	1164202	1043720	751823	2414450	1827876	3229219	2883097	3472396	3015864
"betaine"	13925570	15895973	17970600	11433739	14544196	15656497	15587579	18231676	16819996	11530336	NA	11393361	21406788	20341820	8820340	21960506	19436472	23457160	13398362	14063832	20998040	18682190	22611066	17706524	21584170	14970973	19814182	15110122	NA	18018644	24178256	25323888	24632342	16569979	30568508	26377528	26185718	23898832	19316450	24426480	23478464	19980432	38274136	21170896	52687644	47208968	37576720	48208440
"biotin"	429941	570096	722438	367008	344818	394236	531030	661518	655928	471063	602630	514236	891876	1354326	690774	1343668	591242	1339760	341906	691091	1398846	517382	1312832	768012	1546298	911340	1164716	749666	853230	1429718	1165898	1844988	946772	494481	970865	921735	1175937	924787	826612	1342921	788330	713498	1136791	706867	1859929	1140717	1073414	1726107
"butyrylcarnitine"	2492614	2693651	2620267	2242823	2436628	2284392	3064326	2698691	2919513	2093960	2529012	2753663	3748786	4232905	4094355	4051466	3171773	4419962	997595	2094568	4260260	3187019	4979779	4864089	4053006	3555205	3476030	2831501	2901044	3711699	5024957	5610883	6766846	2954037	7024164	8042415	3468623	3654766	3159868	2962626	3170010	2393142	10685522	9827304	14705174	13641646	17684476	15756773
"C-glycosyltryptophan"	35095	82926	105798	51572	69133	59044	96246	105944	104012	65958	58813	59468	121826	178033	114137	230206	83167	215945	34731	55435	211005	77636	226104	102138	175499	78422	130835	76013	99800	168585	132082	193839	142581	67031	141573	153127	149739	124760	119400	211922	104188	89765	179575	111256	481683	335107	296880	462788
"cadaverine"	269479	217561	159959	217732	217734	148699	261315	191290	181142	172876	99689	208617	63255	99368	61384	75466	118438	78135	NA	60910	NA	54700	73481	55764	NA	58189	53350	NA	67111	NA	NA	NA	NA	NA	65807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"carboxyethyl-GABA"	334462	819378	701179	431764	538022	533727	652996	826830	677895	551483	528933	381324	834072	963938	436266	655595	572833	790572	443844	486766	896033	483480	913307	348479	868174	436367	624121	460275	589147	815326	480211	618690	403632	199402	388008	486337	734409	560726	459029	635229	468916	434188	570678	264880	633736	414505	473990	685495
"carnitine"	50133892	59751344	68526576	45732252	41476524	40277572	64627816	50353396	61967272	46490824	53524096	49762932	123220584	133398136	95754360	139107808	76559152	136681520	59396064	78904560	135228752	82216440	153473312	100899520	96605336	63126480	80894312	54028156	67889328	86970512	133971568	158518384	173870448	70218384	130562840	136480768	111948896	103663424	67874200	105545192	85290728	66373624	191234400	143601120	248200736	189033856	260141552	255219008
"carnosine"	100051	166057	188851	98501	140034	147805	218526	233013	207391	155358	280417	126458	267997	392170	155383	383987	164471	367348	92357	212407	384613	219347	432462	206797	310663	125547	105439	102033	215841	317075	258496	322838	260700	110750	251124	281053	397896	116303	175176	366225	274504	114712	457520	199577	722398	371153	510730	659782
"cholesterol"	2482475	2344222	4025683	3319946	3073278	4091167	2781773	2352018	2118314	2492920	2607018	3711526	1404341	1966548	2363313	2807335	2138948	2166381	1439666	3713448	27551216	3405826	2152864	2884472	2168579	5637516	2119733	2371640	3567402	4241346	2821080	2891890	3975239	1853046	2179842	5721189	2985755	3558453	3060700	3761899	2375702	4562565	3211470	4318288	3415308	3712380	4902964	6429637
"choline"	14096790	16826436	21537144	13769636	13985439	11621192	18247450	22188206	18540956	13006941	21733920	12100391	40635488	44183532	29073012	35616056	34546192	44752464	20026268	25889924	46235288	25734966	48275976	38464988	24901562	20708724	27424944	15121579	20877980	23143272	44120056	42716180	61432132	25641232	38235148	42685764	42941724	42211076	35023772	43521368	32492244	27365610	77291128	55073104	52261176	42178308	68512176	66881608
